#N	alpha	gamma	mu	phi	psi	rho	sigm
0	1.000	1.269	1.039	0.853	0.693	0.000	0.987
1	1.000	0.596	1.469	0.718	0.525	0.000	0.810
2	0.275	1.292	1.430	0.918	0.944	1.000	0.000
3	0.230	1.451	1.331	0.256	0.702	1.000	0.540
4	0.135	1.345	1.052	0.045	0.877	1.000	0.833
5	0.263	1.327	1.071	0.339	0.676	1.000	0.000
6	0.344	0.851	1.214	0.320	0.578	1.000	0.750
7	0.169	0.665	1.097	0.034	0.805	1.000	0.000
8	1.000	0.963	1.362	0.598	0.711	0.000	0.594
9	0.135	0.781	1.118	0.874	0.929	1.000	0.000
#From	To	chi[to]	beta[fr]	lambda
0	5	0.052	0.219	1.000
0	6	0.066	0.500	1.000
0	7	0.370	0.281	1.000
1	2	0.252	1.000	1.000
2	2	0.566	1.000	1.000
3	5	0.453	0.187	1.000
3	6	0.118	0.352	1.000
3	7	0.387	0.461	1.000
4	2	0.182	1.000	1.000
5	5	0.397	1.000	1.000
6	3	0.707	0.147	1.000
6	4	1.000	0.266	1.000
6	5	0.098	0.227	1.000
6	6	0.629	0.116	1.000
6	7	0.243	0.034	1.000
6	9	1.000	0.211	1.000
8	3	0.293	0.841	1.000
8	6	0.187	0.159	1.000
