#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.393	1.356	1.077	0.887	0.990	1.000	0.752
1	1.000	0.521	1.104	0.229	0.931	0.000	0.802
2	0.214	0.536	1.057	0.384	0.839	1.000	0.800
3	0.158	1.406	1.025	0.432	0.639	1.000	0.559
4	0.106	1.487	1.376	0.379	0.885	1.000	0.000
5	1.000	0.942	1.046	0.565	0.604	0.000	0.878
6	0.249	0.564	1.337	0.356	0.982	1.000	0.594
7	1.000	1.268	1.080	0.154	0.699	0.000	0.576
8	0.210	1.047	1.082	0.695	0.501	1.000	0.633
9	0.277	1.447	1.144	0.102	0.917	1.000	0.823
10	0.393	0.927	1.051	0.143	0.835	1.000	0.763
11	0.246	1.041	1.051	0.505	0.512	1.000	0.969
12	1.000	0.757	1.302	0.824	0.680	0.000	0.551
13	0.122	0.882	1.455	0.388	0.569	1.000	0.651
14	0.246	1.194	1.199	0.063	0.591	1.000	0.593
15	1.000	0.961	1.369	0.968	0.527	0.000	0.596
16	0.160	0.921	1.323	0.849	0.710	1.000	0.589
17	0.210	0.770	1.127	0.033	0.868	1.000	0.636
18	1.000	0.820	1.361	0.198	0.699	0.000	0.808
19	1.000	0.650	1.318	0.996	0.655	0.000	0.504
#From	To	chi[to]	beta[fr]	lambda
0	6	0.205	0.346	1.000
0	9	0.063	0.187	1.000
0	11	0.970	0.035	1.000
0	14	0.187	0.290	1.000
0	17	0.010	0.142	1.000
1	0	0.257	0.235	1.000
1	9	0.182	0.180	1.000
1	14	0.109	0.219	1.000
1	17	0.048	0.366	1.000
2	3	0.111	0.519	1.000
2	4	0.047	0.192	1.000
2	13	0.215	0.289	1.000
3	3	0.128	0.045	1.000
3	4	0.019	0.271	1.000
3	13	0.215	0.685	1.000
4	4	0.236	1.000	1.000
5	2	0.110	0.043	1.000
5	3	0.143	0.318	1.000
5	6	0.125	0.128	1.000
5	8	0.171	0.322	1.000
5	10	0.397	0.190	1.000
6	2	0.056	0.248	1.000
6	3	0.050	0.312	1.000
6	6	0.064	0.392	1.000
6	8	0.185	0.048	1.000
7	2	0.112	0.196	1.000
7	6	0.180	0.261	1.000
7	8	0.120	0.203	1.000
7	9	0.164	0.226	1.000
7	16	0.730	0.092	1.000
7	17	0.030	0.022	1.000
8	3	0.096	0.328	1.000
8	4	0.230	0.314	1.000
8	13	0.254	0.358	1.000
9	2	0.118	0.031	1.000
9	6	0.025	0.132	1.000
9	8	0.116	0.240	1.000
9	9	0.071	0.300	1.000
9	16	0.072	0.036	1.000
9	17	0.126	0.262	1.000
10	3	0.077	0.157	1.000
10	4	0.092	0.456	1.000
10	8	0.008	0.387	1.000
11	2	0.203	0.029	1.000
11	6	0.175	0.138	1.000
11	9	0.046	0.544	1.000
11	14	0.174	0.193	1.000
11	17	0.286	0.096	1.000
12	2	0.086	0.035	1.000
12	3	0.123	0.218	1.000
12	8	0.177	0.517	1.000
12	10	0.417	0.229	1.000
13	3	0.011	0.660	1.000
13	4	0.187	0.191	1.000
13	13	0.227	0.148	1.000
14	2	0.132	0.056	1.000
14	6	0.180	0.260	1.000
14	8	0.200	0.071	1.000
14	9	0.073	0.355	1.000
14	16	0.198	0.007	1.000
14	17	0.273	0.252	1.000
15	2	0.044	0.445	1.000
15	3	0.066	0.181	1.000
15	8	0.022	0.308	1.000
15	10	0.186	0.066	1.000
16	3	0.161	0.517	1.000
16	4	0.107	0.190	1.000
16	13	0.089	0.293	1.000
17	3	0.033	0.055	1.000
17	4	0.082	0.945	1.000
18	0	0.743	0.240	1.000
18	6	0.003	0.239	1.000
18	9	0.095	0.358	1.000
18	11	0.030	0.079	1.000
18	14	0.417	0.066	1.000
18	17	0.200	0.019	1.000
19	2	0.140	0.226	1.000
19	6	0.041	0.289	1.000
19	9	0.306	0.075	1.000
19	14	0.113	0.075	1.000
19	17	0.027	0.335	1.000
