#N	alpha	gamma	mu	phi	psi	rho	sigm
0	1.000	1.500	1.206	0.833	0.788	0.000	0.538
1	0.313	1.079	1.036	0.680	0.533	1.000	0.000
2	0.536	0.774	1.017	0.690	0.975	1.000	0.740
3	1.000	0.907	1.095	0.203	0.593	0.000	0.787
4	1.000	0.800	1.452	0.537	0.750	0.000	0.851
5	1.000	1.408	1.151	0.163	0.617	0.000	0.527
6	0.393	0.970	1.460	0.753	0.882	1.000	0.874
7	1.000	0.775	1.265	0.756	0.564	0.000	0.822
8	1.000	1.478	1.174	0.645	0.901	0.000	0.571
9	0.319	1.014	1.035	0.961	0.507	1.000	0.527
#From	To	chi[to]	beta[fr]	lambda
0	6	0.243	1.000	1.000
1	1	0.219	1.000	1.000
2	2	0.236	0.384	1.000
2	9	0.501	0.616	1.000
3	2	0.372	0.270	1.000
3	9	0.364	0.730	1.000
4	6	0.757	1.000	1.000
5	1	0.342	1.000	1.000
6	1	0.010	1.000	1.000
7	1	0.085	1.000	1.000
8	2	0.392	0.225	1.000
8	9	0.135	0.775	1.000
9	1	0.344	1.000	1.000
