#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.246	1.383	1.079	0.061	0.599	1.000	0.637
1	0.393	1.361	1.268	0.088	0.723	1.000	0.936
2	1.000	1.289	1.176	0.791	0.583	0.000	0.879
3	1.000	0.952	1.006	0.264	0.679	0.000	0.882
4	0.311	0.953	1.136	0.532	0.749	1.000	0.000
5	0.122	0.967	1.211	0.627	0.627	1.000	0.838
6	0.048	1.165	1.303	0.599	0.857	1.000	0.959
7	1.000	0.672	1.209	0.728	0.661	0.000	0.630
8	0.154	1.003	1.417	0.791	0.571	1.000	0.593
9	1.000	0.932	1.384	0.325	0.985	0.000	0.828
#From	To	chi[to]	beta[fr]	lambda
0	5	0.630	1.000	1.000
1	0	0.576	0.253	1.000
1	8	1.000	0.747	1.000
2	1	0.055	1.000	1.000
3	1	0.945	1.000	1.000
4	4	0.335	1.000	1.000
5	5	0.152	0.511	1.000
5	6	1.000	0.489	1.000
6	5	0.218	1.000	1.000
7	0	0.424	0.345	1.000
7	4	0.401	0.655	1.000
8	4	0.111	1.000	1.000
9	4	0.152	1.000	1.000
