#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.054	0.987	1.320	0.895	0.539	1.000	0.623
1	0.101	0.786	1.068	0.225	0.593	1.000	0.000
2	1.000	1.113	1.233	0.713	0.501	0.000	0.639
3	0.393	1.224	1.479	0.715	0.747	1.000	0.785
4	0.137	0.673	1.247	0.490	0.767	1.000	0.794
5	0.122	0.614	1.295	0.573	0.614	1.000	0.520
6	0.032	1.112	1.386	0.205	0.519	1.000	0.000
7	0.627	1.198	1.281	0.709	0.503	1.000	0.794
8	0.311	0.725	1.374	0.258	0.506	1.000	0.886
9	0.122	1.291	1.386	0.423	0.931	1.000	0.842
#From	To	chi[to]	beta[fr]	lambda
0	1	0.446	0.511	1.000
0	6	0.296	0.489	1.000
1	1	0.212	1.000	1.000
2	3	1.000	0.065	1.000
2	7	0.728	0.704	1.000
2	8	0.560	0.231	1.000
3	4	0.701	1.000	1.000
4	0	1.000	1.000	1.000
5	1	0.342	1.000	1.000
7	7	0.272	0.646	1.000
7	8	0.440	0.354	1.000
8	4	0.299	0.485	1.000
8	5	1.000	0.348	1.000
8	9	1.000	0.167	1.000
9	6	0.704	1.000	1.000
