#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.071	0.966	1.150	0.776	0.941	1.000	0.775
1	0.154	0.581	1.243	0.457	0.620	1.000	0.692
2	0.127	0.783	1.488	0.990	0.650	1.000	0.000
3	1.000	0.755	1.366	0.009	0.929	0.000	0.884
4	0.393	1.259	1.475	0.074	0.626	1.000	0.748
5	0.061	0.509	1.342	0.194	0.581	1.000	0.773
6	0.393	1.305	1.478	0.792	0.512	1.000	0.693
7	0.246	0.955	1.279	0.246	0.963	1.000	0.511
8	1.000	0.651	1.256	0.913	0.941	0.000	0.881
9	0.154	0.638	1.163	0.101	0.507	1.000	0.710
#From	To	chi[to]	beta[fr]	lambda
0	2	0.438	1.000	1.000
1	0	0.405	0.227	1.000
1	5	1.000	0.393	1.000
1	9	0.259	0.380	1.000
2	2	0.429	1.000	1.000
3	2	0.064	1.000	1.000
4	1	0.350	0.182	1.000
4	6	0.259	0.523	1.000
4	9	0.260	0.294	1.000
5	2	0.069	1.000	1.000
6	1	0.650	0.391	1.000
6	6	0.741	0.510	1.000
6	9	0.179	0.099	1.000
7	0	0.312	0.240	1.000
7	7	0.612	0.760	1.000
8	4	1.000	0.644	1.000
8	9	0.302	0.356	1.000
9	0	0.283	0.759	1.000
9	7	0.388	0.241	1.000
