#N	alpha	gamma	mu	phi	psi	rho	sigm
0	1.000	1.013	1.406	0.855	0.697	0.000	0.816
1	0.313	1.109	1.405	0.027	0.957	1.000	0.000
2	0.536	0.721	1.426	0.062	0.786	1.000	0.779
3	1.000	0.675	1.206	0.193	0.901	0.000	0.923
4	1.000	1.158	1.413	0.302	0.546	0.000	0.739
5	1.000	1.167	1.405	0.904	0.600	0.000	0.786
6	0.393	1.021	1.005	0.445	0.709	1.000	0.752
7	1.000	0.715	1.120	0.567	0.573	0.000	0.658
8	1.000	1.342	1.187	0.902	0.969	0.000	0.518
9	0.319	1.399	1.369	0.985	0.862	1.000	0.659
#From	To	chi[to]	beta[fr]	lambda
0	6	0.385	1.000	1.000
1	1	0.366	1.000	1.000
2	2	0.327	0.159	1.000
2	9	0.357	0.841	1.000
3	2	0.356	0.616	1.000
3	9	0.549	0.384	1.000
4	6	0.615	1.000	1.000
5	1	0.239	1.000	1.000
6	1	0.224	1.000	1.000
7	1	0.024	1.000	1.000
8	2	0.317	0.367	1.000
8	9	0.094	0.633	1.000
9	1	0.147	1.000	1.000
