#N	alpha	gamma	mu	phi	psi	rho	sigm
0	1.000	0.792	1.323	0.176	0.615	0.000	0.892
1	0.393	1.414	1.226	0.114	0.504	1.000	0.682
2	0.195	1.031	1.139	0.974	0.908	1.000	0.549
3	1.000	1.034	1.215	0.825	0.925	0.000	0.944
4	1.000	0.877	1.099	0.042	0.788	0.000	0.628
5	0.077	0.637	1.433	0.666	0.794	1.000	0.897
6	0.393	1.056	1.103	0.664	0.569	1.000	0.881
7	0.184	0.771	1.069	0.564	0.817	1.000	0.000
8	0.393	0.760	1.433	0.199	0.913	1.000	0.661
9	1.000	1.009	1.188	0.456	0.606	0.000	0.881
#From	To	chi[to]	beta[fr]	lambda
0	6	0.579	0.453	1.000
0	8	1.000	0.547	1.000
1	1	0.555	0.088	1.000
1	2	0.199	0.292	1.000
1	7	0.158	0.620	1.000
2	2	0.291	0.400	1.000
2	5	1.000	0.572	1.000
2	7	0.203	0.028	1.000
3	6	0.421	1.000	1.000
4	2	0.044	0.934	1.000
4	7	0.074	0.066	1.000
5	2	0.355	0.728	1.000
5	7	0.118	0.272	1.000
6	1	0.445	0.293	1.000
6	2	0.110	0.650	1.000
6	7	0.082	0.057	1.000
7	7	0.127	1.000	1.000
8	7	0.025	1.000	1.000
9	7	0.214	1.000	1.000
