#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.211	1.041	1.387	0.110	0.628	1.000	0.000
1	0.186	1.144	1.320	0.511	0.670	1.000	0.000
2	0.393	0.835	1.082	0.115	0.954	1.000	0.815
3	0.393	0.669	1.470	0.212	0.766	1.000	0.556
4	1.000	0.932	1.105	0.257	0.633	0.000	0.876
5	1.000	0.756	1.470	0.200	0.784	0.000	0.934
6	1.000	1.001	1.264	0.068	0.526	0.000	0.721
7	0.393	0.755	1.355	0.432	0.955	1.000	0.693
8	0.393	1.294	1.216	0.876	0.579	1.000	0.000
9	0.393	0.920	1.012	0.971	0.719	1.000	0.615
#From	To	chi[to]	beta[fr]	lambda
2	0	0.335	0.212	1.000
2	1	0.223	0.234	1.000
2	7	0.398	0.554	1.000
3	1	0.270	1.000	1.000
4	0	0.146	0.111	1.000
4	1	0.172	0.318	1.000
4	2	1.000	0.338	1.000
4	8	1.000	0.232	1.000
5	3	1.000	1.000	1.000
6	9	1.000	1.000	1.000
7	0	0.519	0.166	1.000
7	1	0.241	0.556	1.000
7	7	0.602	0.278	1.000
9	1	0.093	1.000	1.000
