#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.246	1.428	1.160	0.681	0.641	1.000	0.563
1	0.393	0.965	1.008	0.331	0.978	1.000	0.565
2	1.000	0.750	1.190	0.413	0.521	0.000	0.726
3	1.000	0.585	1.285	0.579	0.853	0.000	0.674
4	0.311	0.764	1.474	0.185	0.774	1.000	0.000
5	0.122	0.741	1.143	0.980	0.902	1.000	0.820
6	0.048	1.241	1.092	0.847	0.815	1.000	0.996
7	1.000	1.142	1.280	0.771	0.974	0.000	0.894
8	0.154	0.961	1.391	0.083	0.865	1.000	0.903
9	1.000	0.916	1.065	0.359	0.742	0.000	0.833
#From	To	chi[to]	beta[fr]	lambda
0	5	0.441	1.000	1.000
1	0	0.420	0.420	1.000
1	8	1.000	0.580	1.000
2	1	0.541	1.000	1.000
3	1	0.459	1.000	1.000
4	4	0.321	1.000	1.000
5	5	0.079	0.340	1.000
5	6	1.000	0.660	1.000
6	5	0.480	1.000	1.000
7	0	0.580	0.361	1.000
7	4	0.287	0.639	1.000
8	4	0.082	1.000	1.000
9	4	0.310	1.000	1.000
