#N	alpha	gamma	mu	phi	psi	rho	sigm
0	1.000	1.194	1.148	0.513	0.954	0.000	0.572
1	0.167	1.039	1.337	0.998	0.876	1.000	0.000
2	0.627	1.191	1.291	0.262	0.557	1.000	0.898
3	0.246	1.454	1.268	0.014	0.997	1.000	0.501
4	0.336	0.655	1.261	0.624	0.787	1.000	0.747
5	0.311	1.143	1.052	0.405	0.804	1.000	0.578
6	0.097	0.523	1.499	0.490	0.844	1.000	0.755
7	0.171	1.190	1.049	0.949	0.998	1.000	0.631
8	1.000	0.943	1.240	0.733	0.792	0.000	0.537
9	1.000	0.959	1.392	0.847	0.939	0.000	0.821
#From	To	chi[to]	beta[fr]	lambda
0	2	0.074	0.965	1.000
0	5	0.693	0.035	1.000
1	1	0.210	1.000	1.000
2	2	0.926	0.079	1.000
2	3	1.000	0.649	1.000
2	5	0.307	0.272	1.000
3	1	0.037	0.225	1.000
3	4	0.531	0.190	1.000
3	6	1.000	0.288	1.000
3	7	0.065	0.298	1.000
4	1	0.164	0.434	1.000
4	4	0.144	0.322	1.000
4	7	0.469	0.245	1.000
5	1	0.123	1.000	1.000
6	1	0.144	1.000	1.000
7	1	0.093	1.000	1.000
8	1	0.063	0.325	1.000
8	4	0.324	0.442	1.000
8	7	0.466	0.233	1.000
9	1	0.166	1.000	1.000
