#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.393	0.854	1.226	0.793	0.723	1.000	0.547
1	1.000	0.844	1.495	0.640	0.609	0.000	0.834
2	0.060	1.468	1.453	0.589	0.761	1.000	0.000
3	0.311	1.433	1.411	0.896	0.971	1.000	0.833
4	0.288	1.085	1.307	0.687	0.806	1.000	0.699
5	0.204	1.488	1.085	0.808	0.667	1.000	0.720
6	1.000	0.512	1.442	0.642	0.660	0.000	0.624
7	0.288	0.887	1.437	0.566	0.925	1.000	0.899
8	1.000	0.527	1.310	0.596	0.671	0.000	0.973
9	1.000	0.544	1.372	0.686	0.716	0.000	0.897
10	0.115	0.516	1.423	0.817	0.740	1.000	0.534
11	0.336	1.176	1.003	0.792	0.739	1.000	0.836
12	1.000	0.632	1.482	0.933	0.799	0.000	0.572
13	0.036	0.883	1.058	0.904	0.567	1.000	0.962
14	0.393	1.357	1.166	0.306	0.626	1.000	0.698
15	1.000	1.103	1.167	0.790	0.666	0.000	0.821
16	1.000	1.027	1.146	0.389	0.620	0.000	0.618
17	1.000	0.565	1.302	0.799	0.761	0.000	0.562
18	0.098	1.110	1.327	0.800	0.685	1.000	0.764
19	0.393	0.974	1.332	0.130	0.555	1.000	0.639
20	0.037	1.201	1.475	0.404	0.505	1.000	0.837
21	0.177	1.203	1.282	0.691	0.796	1.000	0.719
22	0.393	0.851	1.299	0.352	0.577	1.000	0.962
23	0.108	1.362	1.435	0.465	0.624	1.000	0.957
24	0.131	0.581	1.226	0.518	0.595	1.000	0.000
25	0.078	0.740	1.234	0.626	0.582	1.000	0.944
26	0.064	0.993	1.125	0.872	0.974	1.000	0.771
27	0.039	1.068	1.302	0.375	0.811	1.000	0.920
28	0.036	0.654	1.003	0.124	0.828	1.000	0.771
29	0.137	0.639	1.411	0.128	0.697	1.000	0.729
#From	To	chi[to]	beta[fr]	lambda
0	2	0.061	0.178	1.000
0	10	0.092	0.034	1.000
0	18	0.090	0.366	1.000
0	21	0.128	0.212	1.000
0	29	0.141	0.211	1.000
1	24	0.010	0.312	1.000
1	25	0.021	0.688	1.000
3	2	0.041	0.025	1.000
3	10	0.098	0.284	1.000
3	18	0.136	0.229	1.000
3	20	0.168	0.347	1.000
3	23	0.314	0.116	1.000
4	2	0.065	0.131	1.000
4	5	0.297	0.207	1.000
4	10	0.198	0.170	1.000
4	18	0.015	0.135	1.000
4	21	0.024	0.215	1.000
4	29	0.387	0.142	1.000
5	2	0.096	0.256	1.000
5	20	0.127	0.061	1.000
5	25	0.074	0.226	1.000
5	27	0.049	0.261	1.000
5	28	0.229	0.197	1.000
6	24	0.089	0.269	1.000
6	25	0.158	0.300	1.000
6	27	0.043	0.431	1.000
7	2	0.096	0.220	1.000
7	10	0.109	0.399	1.000
7	18	0.022	0.282	1.000
7	21	0.206	0.100	1.000
8	24	0.177	1.000	1.000
9	0	1.000	0.264	1.000
9	3	0.394	0.010	1.000
9	4	0.704	0.008	1.000
9	7	0.304	0.268	1.000
9	11	0.280	0.244	1.000
9	22	0.178	0.207	1.000
10	2	0.061	0.216	1.000
10	13	0.430	0.070	1.000
10	18	0.071	0.050	1.000
10	20	0.132	0.043	1.000
10	23	0.214	0.186	1.000
10	26	0.272	0.161	1.000
10	27	0.271	0.231	1.000
10	28	0.015	0.044	1.000
11	2	0.091	0.158	1.000
11	5	0.196	0.147	1.000
11	10	0.175	0.273	1.000
11	11	0.187	0.169	1.000
11	18	0.144	0.049	1.000
11	21	0.182	0.173	1.000
11	29	0.217	0.031	1.000
12	3	0.272	0.051	1.000
12	4	0.108	0.264	1.000
12	5	0.178	0.106	1.000
12	7	0.611	0.010	1.000
12	11	0.197	0.167	1.000
12	14	0.391	0.277	1.000
12	21	0.151	0.056	1.000
