#N	alpha	gamma	mu	phi	psi	rho	sigm
0	1.000	1.284	1.446	0.475	0.916	0.000	0.769
1	0.393	1.080	1.295	0.508	0.522	1.000	0.936
2	0.195	1.492	1.064	0.061	0.827	1.000	0.630
3	1.000	0.637	1.348	0.310	0.663	0.000	0.611
4	1.000	0.771	1.208	0.875	0.702	0.000	0.720
5	0.077	0.914	1.430	0.602	0.577	1.000	0.748
6	0.393	0.969	1.360	0.555	0.891	1.000	0.984
7	0.184	1.083	1.254	0.509	0.991	1.000	0.000
8	0.393	0.534	1.077	0.236	0.523	1.000	0.959
9	1.000	1.288	1.399	0.210	0.937	0.000	0.524
#From	To	chi[to]	beta[fr]	lambda
0	6	0.407	0.592	1.000
0	8	1.000	0.408	1.000
1	1	0.900	0.398	1.000
1	2	0.099	0.421	1.000
1	7	0.101	0.182	1.000
2	2	0.326	0.373	1.000
2	5	1.000	0.175	1.000
2	7	0.246	0.451	1.000
3	6	0.593	1.000	1.000
4	2	0.210	0.828	1.000
4	7	0.010	0.172	1.000
5	2	0.127	0.384	1.000
5	7	0.188	0.616	1.000
6	1	0.100	0.440	1.000
6	2	0.238	0.437	1.000
6	7	0.307	0.123	1.000
7	7	0.099	1.000	1.000
8	7	0.025	1.000	1.000
9	7	0.023	1.000	1.000
