#N	alpha	gamma	mu	phi	psi	rho	sigm
0	1.000	0.939	1.335	0.282	0.964	0.000	0.597
1	0.154	1.285	1.274	0.450	0.855	1.000	0.894
2	1.000	0.858	1.251	0.210	0.810	0.000	0.744
3	0.211	1.108	1.028	0.526	0.823	1.000	0.564
4	0.393	1.088	1.036	0.500	0.975	1.000	0.922
5	0.193	1.340	1.109	0.430	0.595	1.000	0.000
6	1.000	0.508	1.487	0.863	0.706	0.000	0.920
7	0.224	0.549	1.390	0.137	0.698	1.000	1.000
8	1.000	1.084	1.323	0.276	0.608	0.000	0.681
9	0.234	1.412	1.374	0.868	0.538	1.000	0.990
#From	To	chi[to]	beta[fr]	lambda
0	3	0.493	0.184	1.000
0	5	0.018	0.443	1.000
0	7	0.291	0.186	1.000
0	9	0.369	0.186	1.000
1	3	0.357	0.171	1.000
1	5	0.038	0.346	1.000
1	7	0.134	0.484	1.000
2	4	1.000	0.174	1.000
2	7	0.193	0.826	1.000
3	5	0.229	0.824	1.000
3	9	0.348	0.176	1.000
4	1	1.000	0.482	1.000
4	5	0.176	0.174	1.000
4	7	0.094	0.344	1.000
5	5	0.177	1.000	1.000
6	5	0.020	1.000	1.000
7	5	0.065	1.000	1.000
8	3	0.150	0.454	1.000
8	5	0.207	0.262	1.000
8	7	0.288	0.155	1.000
8	9	0.283	0.129	1.000
9	5	0.071	1.000	1.000
