#N	alpha	gamma	mu	phi	psi	rho	sigm
0	1.000	1.177	1.234	0.069	0.811	0.000	0.995
1	0.313	0.823	1.360	0.148	0.695	1.000	0.000
2	0.536	1.267	1.009	0.654	0.586	1.000	0.503
3	1.000	1.230	1.380	0.327	0.761	0.000	0.594
4	1.000	0.682	1.150	0.524	0.548	0.000	0.641
5	1.000	1.104	1.123	0.690	0.751	0.000	0.808
6	0.393	0.926	1.236	0.182	0.893	1.000	0.977
7	1.000	1.144	1.444	0.281	0.701	0.000	0.521
8	1.000	1.212	1.261	0.878	0.543	0.000	0.906
9	0.319	0.834	1.254	0.636	0.617	1.000	0.608
#From	To	chi[to]	beta[fr]	lambda
0	6	0.477	1.000	1.000
1	1	0.214	1.000	1.000
2	2	0.467	0.295	1.000
2	9	0.263	0.705	1.000
3	2	0.124	0.525	1.000
3	9	0.381	0.475	1.000
4	6	0.523	1.000	1.000
5	1	0.229	1.000	1.000
6	1	0.159	1.000	1.000
7	1	0.274	1.000	1.000
8	2	0.409	0.127	1.000
8	9	0.355	0.873	1.000
9	1	0.123	1.000	1.000
