#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.041	1.033	1.327	0.876	0.975	1.000	0.813
1	1.000	1.222	1.018	0.649	0.581	0.000	0.618
2	0.459	1.406	1.233	0.690	0.710	1.000	0.897
3	0.154	0.854	1.131	0.158	0.687	1.000	0.580
4	0.062	0.959	1.201	0.309	0.980	1.000	0.578
5	0.154	1.091	1.368	0.083	0.768	1.000	0.724
6	0.266	1.454	1.460	0.363	0.858	1.000	0.734
7	1.000	1.318	1.275	0.296	0.637	0.000	0.973
8	1.000	1.067	1.366	0.933	0.610	0.000	0.834
9	0.071	0.904	1.190	0.777	0.921	1.000	0.551
10	0.108	1.248	1.191	0.378	0.711	1.000	0.752
11	0.045	1.322	1.290	0.696	0.754	1.000	0.670
12	0.062	0.889	1.203	0.879	0.764	1.000	0.886
13	0.111	1.226	1.235	0.224	0.577	1.000	0.619
14	0.180	1.074	1.019	0.721	0.856	1.000	0.884
15	0.061	1.131	1.378	0.062	0.511	1.000	0.937
16	0.056	1.365	1.026	0.289	0.502	1.000	0.917
17	0.055	1.020	1.345	0.442	0.836	1.000	0.000
18	0.075	1.213	1.298	0.584	0.756	1.000	0.556
19	0.266	1.430	1.063	0.635	0.934	1.000	0.526
20	0.057	1.401	1.121	0.908	0.703	1.000	0.885
21	0.154	1.124	1.098	0.305	0.976	1.000	0.779
22	1.000	1.459	1.115	0.358	0.821	0.000	0.963
23	0.627	0.530	1.095	0.934	0.737	1.000	0.563
24	0.049	1.326	1.063	0.328	0.741	1.000	0.539
25	0.052	1.255	1.001	0.763	0.816	1.000	0.925
26	0.125	1.238	1.407	0.110	0.935	1.000	0.769
27	0.060	0.697	1.072	0.241	0.858	1.000	0.729
28	0.071	0.663	1.020	0.428	0.932	1.000	0.829
29	1.000	0.796	1.334	0.322	0.569	0.000	0.731
#From	To	chi[to]	beta[fr]	lambda
0	17	0.090	0.088	1.000
0	25	0.097	0.912	1.000
1	2	0.306	0.137	1.000
1	3	0.018	0.011	1.000
1	5	0.104	0.170	1.000
1	10	0.208	0.231	1.000
1	14	0.347	0.093	1.000
1	18	0.038	0.107	1.000
1	21	0.061	0.049	1.000
1	23	0.429	0.202	1.000
2	2	0.234	0.157	1.000
2	3	0.192	0.079	1.000
2	4	0.043	0.112	1.000
2	5	0.156	0.059	1.000
2	6	0.277	0.046	1.000
2	10	0.238	0.123	1.000
2	12	0.094	0.005	1.000
2	14	0.115	0.113	1.000
2	18	0.070	0.002	1.000
2	19	0.154	0.061	1.000
2	21	0.019	0.069	1.000
2	26	0.287	0.174	1.000
3	4	0.077	0.003	1.000
3	12	0.017	0.139	1.000
3	15	0.016	0.243	1.000
3	16	0.172	0.153	1.000
3	17	0.087	0.223	1.000
3	18	0.098	0.219	1.000
3	20	0.046	0.020	1.000
4	17	0.022	0.490	1.000
4	25	0.195	0.510	1.000
5	4	0.022	0.220	1.000
5	12	0.092	0.195	1.000
5	17	0.080	0.096	1.000
5	24	0.123	0.252	1.000
5	25	0.085	0.238	1.000
6	3	0.069	0.169	1.000
6	4	0.020	0.040	1.000
6	5	0.214	0.070	1.000
6	6	0.415	0.030	1.000
6	10	0.007	0.153	1.000
6	12	0.105	0.151	1.000
6	14	0.027	0.094	1.000
6	18	0.009	0.048	1.000
6	19	0.532	0.021	1.000
6	21	0.354	0.197	1.000
6	26	0.174	0.011	1.000
6	27	0.097	0.015	1.000
7	4	0.084	0.295	1.000
7	12	0.031	0.334	1.000
7	17	0.018	0.155	1.000
7	24	0.203	0.142	1.000
7	25	0.120	0.074	1.000
8	17	0.083	1.000	1.000
9	0	0.314	0.152	1.000
9	4	0.057	0.150	1.000
9	12	0.089	0.120	1.000
9	15	0.161	0.076	1.000
9	16	0.168	0.154	1.000
