#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.206	1.451	1.495	0.542	0.889	1.000	0.862
1	0.036	0.913	1.140	0.914	0.758	1.000	0.517
2	1.000	0.660	1.256	0.071	0.725	0.000	0.653
3	0.190	0.970	1.095	0.291	0.539	1.000	0.793
4	0.393	1.355	1.358	0.593	0.582	1.000	0.992
5	0.393	1.213	1.034	0.459	0.843	1.000	0.610
6	0.288	1.360	1.333	0.950	0.596	1.000	0.880
7	0.246	0.521	1.480	0.434	0.860	1.000	0.825
8	0.077	1.336	1.454	0.100	0.694	1.000	0.872
9	0.154	1.454	1.371	0.834	0.549	1.000	0.912
10	1.000	0.791	1.456	0.394	0.760	0.000	0.813
11	1.000	1.407	1.194	0.909	0.594	0.000	0.510
12	1.000	1.184	1.143	0.551	0.569	0.000	0.849
13	0.075	1.129	1.268	0.035	0.968	1.000	0.581
14	0.393	1.026	1.398	0.454	0.842	1.000	0.998
15	0.067	1.349	1.104	0.600	0.678	1.000	0.618
16	0.200	1.316	1.243	0.898	0.940	1.000	0.530
17	0.103	1.067	1.065	0.411	0.939	1.000	0.658
18	0.057	1.446	1.217	0.227	0.645	1.000	0.000
19	0.190	0.596	1.046	0.619	0.819	1.000	0.570
#From	To	chi[to]	beta[fr]	lambda
0	0	0.041	0.365	1.000
0	8	0.184	0.078	1.000
0	17	0.010	0.557	1.000
1	18	0.109	1.000	1.000
2	0	0.356	0.289	1.000
2	7	0.142	0.112	1.000
2	16	0.208	0.126	1.000
2	17	0.154	0.473	1.000
3	0	0.146	0.301	1.000
3	8	0.423	0.247	1.000
3	17	0.085	0.452	1.000
4	4	0.518	0.170	1.000
4	6	0.381	0.397	1.000
4	9	0.975	0.407	1.000
4	16	0.013	0.026	1.000
5	4	0.087	0.123	1.000
5	6	0.316	0.201	1.000
5	9	0.025	0.420	1.000
5	16	0.261	0.256	1.000
6	0	0.066	0.291	1.000
6	3	0.486	0.050	1.000
6	6	0.302	0.078	1.000
6	16	0.263	0.129	1.000
6	19	0.556	0.452	1.000
7	18	0.244	1.000	1.000
8	1	0.460	0.612	1.000
8	18	0.066	0.388	1.000
9	1	0.436	0.040	1.000
9	15	0.291	0.340	1.000
9	17	0.117	0.272	1.000
9	18	0.143	0.348	1.000
10	5	0.781	1.000	1.000
11	4	0.395	0.457	1.000
11	5	0.219	0.543	1.000
12	0	0.119	0.346	1.000
12	3	0.401	0.181	1.000
12	14	1.000	0.032	1.000
12	16	0.079	0.241	1.000
12	17	0.152	0.069	1.000
12	19	0.175	0.131	1.000
13	18	0.073	1.000	1.000
14	0	0.233	0.348	1.000
14	3	0.113	0.189	1.000
14	7	0.858	0.080	1.000
14	16	0.176	0.021	1.000
14	17	0.069	0.189	1.000
14	19	0.270	0.173	1.000
15	1	0.104	0.431	1.000
15	17	0.149	0.485	1.000
15	18	0.037	0.084	1.000
16	0	0.039	0.330	1.000
16	8	0.018	0.314	1.000
16	17	0.136	0.356	1.000
17	18	0.109	1.000	1.000
18	18	0.064	1.000	1.000
19	8	0.375	0.073	1.000
19	13	1.000	0.217	1.000
19	15	0.709	0.156	1.000
19	17	0.128	0.384	1.000
19	18	0.155	0.169	1.000
