#N	alpha	gamma	mu	phi	psi	rho	sigm
0	1.000	1.260	1.342	0.157	0.619	0.000	0.991
1	0.393	1.414	1.327	0.940	0.912	1.000	0.876
2	1.000	1.020	1.490	0.439	0.720	0.000	0.694
3	0.316	0.536	1.488	0.497	0.711	1.000	0.000
4	1.000	1.230	1.057	0.952	0.666	0.000	0.568
5	0.307	1.374	1.375	0.803	0.762	1.000	0.960
6	0.362	1.143	1.160	0.728	0.653	1.000	0.699
7	1.000	1.400	1.221	0.680	0.717	0.000	0.654
8	0.627	1.144	1.438	0.928	0.985	1.000	0.834
9	1.000	0.516	1.423	0.458	0.812	0.000	0.542
#From	To	chi[to]	beta[fr]	lambda
0	3	0.149	0.304	1.000
0	5	0.075	0.436	1.000
0	8	0.836	0.261	1.000
1	5	0.108	1.000	1.000
2	3	0.128	1.000	1.000
3	3	0.089	1.000	1.000
4	1	1.000	1.000	1.000
5	3	0.184	0.383	1.000
5	5	0.048	0.217	1.000
5	6	0.256	0.400	1.000
6	3	0.167	0.582	1.000
6	5	0.232	0.335	1.000
6	6	0.366	0.082	1.000
7	3	0.081	1.000	1.000
8	3	0.105	0.405	1.000
8	5	0.176	0.510	1.000
8	8	0.164	0.085	1.000
9	3	0.096	0.260	1.000
9	5	0.360	0.495	1.000
9	6	0.378	0.244	1.000
