#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.336	0.577	1.215	0.874	0.897	1.000	0.620
1	1.000	0.881	1.119	0.865	0.610	0.000	0.592
2	1.000	1.241	1.016	0.462	0.836	0.000	0.660
3	0.288	1.401	1.058	0.253	0.569	1.000	0.000
4	1.000	1.348	1.021	0.153	0.712	0.000	0.719
5	0.211	1.377	1.169	0.725	0.825	1.000	0.913
6	0.393	1.119	1.398	0.483	0.803	1.000	0.751
7	0.393	1.171	1.376	0.157	0.898	1.000	0.000
8	1.000	1.310	1.443	0.652	0.841	0.000	0.981
9	0.246	1.059	1.053	0.329	0.704	1.000	0.579
#From	To	chi[to]	beta[fr]	lambda
0	0	0.399	0.687	1.000
0	5	0.380	0.313	1.000
1	0	0.369	0.221	1.000
1	5	0.030	0.779	1.000
2	9	0.471	1.000	1.000
3	3	0.355	1.000	1.000
4	5	0.202	1.000	1.000
5	3	0.645	1.000	1.000
6	9	0.529	1.000	1.000
8	6	1.000	0.091	1.000
8	7	1.000	0.909	1.000
9	0	0.232	0.361	1.000
9	5	0.387	0.639	1.000
