#N	alpha	gamma	mu	phi	psi	rho	sigm
0	1.000	0.725	1.010	0.736	0.668	0.000	0.706
1	0.393	0.957	1.282	0.855	0.776	1.000	0.660
2	1.000	0.596	1.001	0.078	0.633	0.000	0.779
3	0.316	1.002	1.014	0.960	0.729	1.000	0.000
4	1.000	1.412	1.488	0.223	0.605	0.000	0.928
5	0.307	1.488	1.391	0.745	0.734	1.000	0.898
6	0.362	0.750	1.007	0.127	0.846	1.000	0.714
7	1.000	0.621	1.400	0.981	0.717	0.000	0.578
8	0.627	0.586	1.394	0.556	0.749	1.000	0.581
9	1.000	0.699	1.148	0.630	0.978	0.000	0.516
#From	To	chi[to]	beta[fr]	lambda
0	3	0.173	0.805	1.000
0	5	0.376	0.047	1.000
0	8	0.485	0.149	1.000
1	5	0.015	1.000	1.000
2	3	0.007	1.000	1.000
3	3	0.212	1.000	1.000
4	1	1.000	1.000	1.000
5	3	0.111	0.047	1.000
5	5	0.083	0.465	1.000
5	6	0.595	0.488	1.000
6	3	0.148	0.486	1.000
6	5	0.029	0.152	1.000
6	6	0.264	0.362	1.000
7	3	0.093	1.000	1.000
8	3	0.112	0.197	1.000
8	5	0.160	0.416	1.000
8	8	0.515	0.388	1.000
9	3	0.144	0.102	1.000
9	5	0.336	0.716	1.000
9	6	0.141	0.182	1.000
