#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.393	0.702	1.102	0.723	0.531	1.000	0.000
1	1.000	1.294	1.116	0.251	0.587	0.000	0.977
2	1.000	0.863	1.347	0.892	0.920	0.000	0.963
3	1.000	0.951	1.324	0.414	0.639	0.000	0.649
4	0.311	1.264	1.395	0.694	0.909	1.000	0.508
5	0.393	1.287	1.036	0.697	0.967	1.000	0.000
6	0.173	0.859	1.253	0.759	0.749	1.000	0.000
7	0.627	1.085	1.048	0.207	0.870	1.000	0.625
8	0.363	1.310	1.073	0.836	0.743	1.000	0.596
9	0.336	1.379	1.404	0.026	0.710	1.000	0.909
#From	To	chi[to]	beta[fr]	lambda
1	6	0.152	1.000	1.000
2	5	1.000	0.562	1.000
2	9	0.243	0.438	1.000
3	0	1.000	0.354	1.000
3	4	0.537	0.120	1.000
3	7	0.389	0.162	1.000
3	9	0.399	0.364	1.000
4	6	0.061	1.000	1.000
7	4	0.463	0.080	1.000
7	7	0.611	0.775	1.000
7	9	0.358	0.145	1.000
8	6	0.483	0.865	1.000
8	8	0.045	0.135	1.000
9	6	0.304	0.177	1.000
9	8	0.955	0.823	1.000
