#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.393	1.054	1.443	0.912	0.890	1.000	0.000
1	1.000	1.153	1.006	0.958	0.682	0.000	0.652
2	1.000	0.528	1.048	0.215	0.788	0.000	0.858
3	1.000	1.108	1.114	0.794	0.615	0.000	0.868
4	0.311	1.119	1.151	0.907	0.798	1.000	0.636
5	0.393	0.983	1.284	0.777	0.869	1.000	0.000
6	0.173	0.677	1.016	0.072	0.560	1.000	0.000
7	0.627	1.390	1.439	0.462	0.657	1.000	0.852
8	0.363	0.511	1.308	0.166	0.841	1.000	0.938
9	0.336	0.668	1.090	0.848	0.609	1.000	0.989
#From	To	chi[to]	beta[fr]	lambda
1	6	0.392	1.000	1.000
2	5	1.000	0.608	1.000
2	9	0.222	0.392	1.000
3	0	1.000	0.287	1.000
3	4	0.313	0.204	1.000
3	7	0.972	0.260	1.000
3	9	0.494	0.249	1.000
4	6	0.385	1.000	1.000
7	4	0.687	0.687	1.000
7	7	0.028	0.304	1.000
7	9	0.284	0.009	1.000
8	6	0.062	0.602	1.000
8	8	0.528	0.398	1.000
9	6	0.161	0.513	1.000
9	8	0.472	0.487	1.000
