#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.393	0.892	1.273	0.668	0.621	1.000	0.809
1	0.393	0.998	1.105	0.087	0.534	1.000	0.559
2	0.154	0.623	1.182	0.409	0.993	1.000	0.930
3	1.000	1.409	1.161	0.512	0.699	0.000	0.631
4	0.122	0.727	1.250	0.430	0.508	1.000	0.814
5	1.000	1.232	1.270	0.506	0.545	0.000	0.954
6	0.393	0.625	1.481	0.919	0.582	1.000	0.590
7	0.246	0.957	1.253	0.920	0.549	1.000	0.939
8	0.141	0.627	1.242	0.817	0.594	1.000	0.992
9	0.085	0.672	1.033	0.344	0.806	1.000	0.880
10	1.000	0.928	1.246	0.684	0.771	0.000	0.779
11	0.195	0.601	1.048	0.692	0.590	1.000	0.543
12	0.089	1.348	1.277	0.276	0.742	1.000	0.544
13	0.146	0.748	1.087	1.000	0.875	1.000	0.551
14	0.075	1.403	1.244	0.590	0.713	1.000	0.911
15	1.000	1.497	1.092	0.464	0.871	0.000	0.533
16	0.086	0.935	1.040	0.912	0.871	1.000	0.850
17	0.040	0.573	1.321	0.140	0.926	1.000	0.718
18	0.077	1.073	1.181	0.597	0.920	1.000	0.853
19	0.393	1.204	1.216	0.253	0.813	1.000	0.744
#From	To	chi[to]	beta[fr]	lambda
0	0	0.420	0.357	1.000
0	2	0.463	0.078	1.000
0	6	0.530	0.120	1.000
0	7	0.381	0.297	1.000
0	11	0.060	0.148	1.000
1	4	0.502	0.038	1.000
1	7	0.480	0.159	1.000
1	9	0.130	0.104	1.000
1	11	0.237	0.276	1.000
1	12	0.126	0.173	1.000
1	18	0.131	0.251	1.000
2	9	0.106	0.119	1.000
2	12	0.027	0.407	1.000
2	13	0.330	0.302	1.000
2	14	0.067	0.064	1.000
2	18	0.020	0.107	1.000
3	8	0.188	0.274	1.000
3	14	0.089	0.405	1.000
3	16	0.491	0.321	1.000
4	9	0.212	0.344	1.000
4	12	0.083	0.119	1.000
4	13	0.094	0.224	1.000
4	14	0.096	0.092	1.000
4	18	0.094	0.221	1.000
5	0	0.283	0.136	1.000
5	1	0.222	0.016	1.000
5	11	0.184	0.849	1.000
6	0	0.297	0.114	1.000
6	2	0.537	0.031	1.000
6	6	0.470	0.042	1.000
6	7	0.087	0.287	1.000
6	11	0.100	0.526	1.000
7	4	0.498	0.163	1.000
7	7	0.052	0.271	1.000
7	9	0.174	0.333	1.000
7	11	0.193	0.048	1.000
7	12	0.172	0.056	1.000
7	18	0.022	0.128	1.000
8	8	0.172	0.241	1.000
8	16	0.102	0.759	1.000
9	12	0.067	0.034	1.000
9	14	0.121	0.429	1.000
9	17	0.136	0.083	1.000
9	18	0.081	0.455	1.000
10	19	0.511	1.000	1.000
11	12	0.183	0.613	1.000
11	14	0.129	0.119	1.000
11	17	0.095	0.138	1.000
11	18	0.125	0.130	1.000
12	12	0.185	0.297	1.000
12	14	0.028	0.246	1.000
12	17	0.525	0.263	1.000
12	18	0.120	0.194	1.000
13	9	0.170	0.398	1.000
13	12	0.121	0.219	1.000
13	13	0.362	0.046	1.000
13	14	0.101	0.123	1.000
13	18	0.127	0.214	1.000
14	8	0.302	0.229	1.000
14	14	0.118	0.451	1.000
14	16	0.407	0.320	1.000
15	1	0.778	0.347	1.000
15	11	0.226	0.394	1.000
15	19	0.489	0.259	1.000
16	8	0.338	1.000	1.000
17	14	0.068	0.911	1.000
17	18	0.075	0.089	1.000
18	12	0.031	0.275	1.000
18	14	0.129	0.250	1.000
18	17	0.245	0.290	1.000
18	18	0.096	0.185	1.000
19	9	0.207	0.292	1.000
19	12	0.004	0.245	1.000
19	13	0.214	0.104	1.000
19	14	0.056	0.156	1.000
19	18	0.109	0.203	1.000
