#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.393	0.742	1.443	0.347	0.563	1.000	0.000
1	1.000	1.198	1.470	0.374	0.552	0.000	0.755
2	1.000	1.459	1.072	0.867	0.542	0.000	0.742
3	1.000	1.396	1.235	0.650	0.770	0.000	0.878
4	0.311	1.122	1.327	0.273	0.742	1.000	0.987
5	0.393	1.366	1.264	0.430	0.941	1.000	0.000
6	0.173	1.064	1.243	0.684	0.962	1.000	0.000
7	0.627	1.483	1.456	0.537	0.779	1.000	0.827
8	0.363	0.555	1.144	0.917	0.638	1.000	0.813
9	0.336	0.685	1.266	0.295	0.736	1.000	0.566
#From	To	chi[to]	beta[fr]	lambda
1	6	0.336	1.000	1.000
2	5	1.000	0.660	1.000
2	9	0.119	0.340	1.000
3	0	1.000	0.216	1.000
3	4	0.618	0.117	1.000
3	7	0.506	0.499	1.000
3	9	0.302	0.168	1.000
4	6	0.322	1.000	1.000
7	4	0.382	0.020	1.000
7	7	0.494	0.515	1.000
7	9	0.579	0.465	1.000
8	6	0.061	0.658	1.000
8	8	0.726	0.342	1.000
9	6	0.281	0.322	1.000
9	8	0.274	0.678	1.000
