#N	alpha	gamma	mu	phi	psi	rho	sigm
0	1.000	0.994	1.381	0.063	0.965	0.000	0.985
1	0.167	1.220	1.431	0.387	0.794	1.000	0.000
2	0.627	0.935	1.017	0.749	0.563	1.000	0.512
3	0.246	0.646	1.303	0.519	0.762	1.000	0.697
4	0.336	0.510	1.344	0.779	0.945	1.000	0.631
5	0.311	1.120	1.061	0.360	0.595	1.000	0.704
6	0.097	1.208	1.159	0.875	0.761	1.000	0.969
7	0.171	0.735	1.497	0.193	0.641	1.000	0.546
8	1.000	0.728	1.166	0.051	0.534	0.000	0.560
9	1.000	0.994	1.325	0.006	0.861	0.000	0.745
#From	To	chi[to]	beta[fr]	lambda
0	2	0.175	0.510	1.000
0	5	0.879	0.490	1.000
1	1	0.206	1.000	1.000
2	2	0.825	0.353	1.000
2	3	1.000	0.371	1.000
2	5	0.121	0.276	1.000
3	1	0.029	0.249	1.000
3	4	0.440	0.374	1.000
3	6	1.000	0.305	1.000
3	7	0.479	0.072	1.000
4	1	0.171	0.190	1.000
4	4	0.090	0.534	1.000
4	7	0.055	0.276	1.000
5	1	0.119	1.000	1.000
6	1	0.029	1.000	1.000
7	1	0.073	1.000	1.000
8	1	0.180	0.105	1.000
8	4	0.470	0.693	1.000
8	7	0.466	0.202	1.000
9	1	0.193	1.000	1.000
