#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.393	1.117	1.287	0.357	0.730	1.000	0.816
1	0.154	0.723	1.070	0.562	0.573	1.000	0.793
2	1.000	1.089	1.269	0.418	0.776	0.000	0.586
3	1.000	0.780	1.465	0.518	0.727	0.000	0.816
4	0.224	0.998	1.303	0.740	0.896	1.000	0.731
5	1.000	1.037	1.431	0.040	0.807	0.000	0.820
6	0.169	1.047	1.306	0.251	0.881	1.000	0.954
7	1.000	1.013	1.491	0.037	0.745	0.000	0.530
8	0.230	0.730	1.197	0.868	0.993	1.000	0.000
9	0.246	1.232	1.317	0.236	0.512	1.000	0.932
#From	To	chi[to]	beta[fr]	lambda
0	1	1.000	0.343	1.000
0	6	0.410	0.377	1.000
0	9	0.551	0.281	1.000
1	6	0.244	1.000	1.000
2	4	0.343	0.565	1.000
2	8	0.203	0.435	1.000
3	0	1.000	0.363	1.000
3	6	0.056	0.534	1.000
3	9	0.449	0.103	1.000
4	4	0.476	0.033	1.000
4	8	0.042	0.967	1.000
5	8	0.081	1.000	1.000
6	4	0.063	0.648	1.000
6	8	0.075	0.352	1.000
7	6	0.278	0.412	1.000
7	8	0.164	0.588	1.000
8	8	0.220	1.000	1.000
9	4	0.118	0.430	1.000
9	6	0.011	0.226	1.000
9	8	0.215	0.344	1.000
