#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.393	0.960	1.027	0.564	0.837	1.000	0.924
1	0.154	1.441	1.391	0.731	0.982	1.000	0.928
2	1.000	0.900	1.495	0.125	0.751	0.000	0.994
3	1.000	0.807	1.047	0.786	0.980	0.000	0.698
4	0.224	1.118	1.049	0.711	0.734	1.000	0.951
5	1.000	0.658	1.063	0.672	0.946	0.000	0.904
6	0.169	1.267	1.427	0.277	0.628	1.000	0.790
7	1.000	0.503	1.073	0.301	0.704	0.000	0.588
8	0.230	1.087	1.112	0.418	0.524	1.000	0.000
9	0.246	1.072	1.188	0.934	0.501	1.000	0.729
#From	To	chi[to]	beta[fr]	lambda
0	1	1.000	0.321	1.000
0	6	0.227	0.076	1.000
0	9	0.122	0.604	1.000
1	6	0.225	1.000	1.000
2	4	0.229	0.600	1.000
2	8	0.356	0.400	1.000
3	0	1.000	0.327	1.000
3	6	0.160	0.352	1.000
3	9	0.878	0.321	1.000
4	4	0.560	0.942	1.000
4	8	0.075	0.058	1.000
5	8	0.142	1.000	1.000
6	4	0.203	0.374	1.000
6	8	0.025	0.626	1.000
7	6	0.184	0.443	1.000
7	8	0.068	0.557	1.000
8	8	0.040	1.000	1.000
9	4	0.008	0.436	1.000
9	6	0.204	0.298	1.000
9	8	0.293	0.266	1.000
