#N	alpha	gamma	mu	phi	psi	rho	sigm
0	1.000	1.387	1.250	0.782	0.589	0.000	0.974
1	0.393	0.626	1.336	0.465	0.842	1.000	0.699
2	0.195	0.591	1.350	0.141	0.834	1.000	0.848
3	1.000	0.595	1.379	0.113	0.700	0.000	0.886
4	1.000	1.428	1.229	0.537	0.868	0.000	0.691
5	0.077	1.429	1.085	0.922	0.794	1.000	0.739
6	0.393	1.404	1.083	0.603	0.619	1.000	0.860
7	0.184	0.774	1.285	0.635	0.978	1.000	0.000
8	0.393	1.285	1.072	0.381	0.776	1.000	0.677
9	1.000	1.318	1.228	0.076	0.823	0.000	0.973
#From	To	chi[to]	beta[fr]	lambda
0	6	0.425	0.499	1.000
0	8	1.000	0.501	1.000
1	1	0.513	0.254	1.000
1	2	0.056	0.423	1.000
1	7	0.146	0.323	1.000
2	2	0.333	0.589	1.000
2	5	1.000	0.097	1.000
2	7	0.069	0.314	1.000
3	6	0.575	1.000	1.000
4	2	0.172	0.258	1.000
4	7	0.105	0.742	1.000
5	2	0.381	0.781	1.000
5	7	0.287	0.219	1.000
6	1	0.487	0.031	1.000
6	2	0.057	0.418	1.000
6	7	0.017	0.551	1.000
7	7	0.028	1.000	1.000
8	7	0.219	1.000	1.000
9	7	0.129	1.000	1.000
