#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.054	1.032	1.204	0.949	0.958	1.000	0.943
1	0.101	0.558	1.324	0.795	0.903	1.000	0.000
2	1.000	1.331	1.334	0.344	0.894	0.000	0.983
3	0.393	1.065	1.147	0.494	0.837	1.000	0.892
4	0.137	1.049	1.474	0.235	0.977	1.000	0.849
5	0.122	1.249	1.347	0.300	0.677	1.000	0.761
6	0.032	0.591	1.347	0.200	0.652	1.000	0.000
7	0.627	1.486	1.214	0.612	0.813	1.000	0.582
8	0.311	1.490	1.481	0.181	0.595	1.000	0.701
9	0.122	0.548	1.048	0.901	0.923	1.000	0.637
#From	To	chi[to]	beta[fr]	lambda
0	1	0.461	0.757	1.000
0	6	0.285	0.243	1.000
1	1	0.063	1.000	1.000
2	3	1.000	0.624	1.000
2	7	0.093	0.206	1.000
2	8	0.559	0.170	1.000
3	4	0.458	1.000	1.000
4	0	1.000	1.000	1.000
5	1	0.477	1.000	1.000
7	7	0.907	0.481	1.000
7	8	0.441	0.519	1.000
8	4	0.542	0.096	1.000
8	5	1.000	0.406	1.000
8	9	1.000	0.498	1.000
9	6	0.715	1.000	1.000
