#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.071	1.420	1.221	0.337	0.618	1.000	0.528
1	0.154	1.001	1.036	0.204	0.955	1.000	0.790
2	0.127	0.595	1.008	0.996	0.658	1.000	0.000
3	1.000	0.823	1.358	0.679	0.842	0.000	0.646
4	0.393	1.332	1.151	0.453	0.694	1.000	0.600
5	0.061	1.277	1.025	0.754	0.583	1.000	0.986
6	0.393	1.056	1.238	0.208	0.807	1.000	0.581
7	0.246	1.109	1.422	0.613	0.865	1.000	0.601
8	1.000	1.451	1.424	0.726	0.942	0.000	0.750
9	0.154	0.557	1.438	0.213	0.719	1.000	0.766
#From	To	chi[to]	beta[fr]	lambda
0	2	0.262	1.000	1.000
1	0	0.255	0.131	1.000
1	5	1.000	0.424	1.000
1	9	0.046	0.445	1.000
2	2	0.095	1.000	1.000
3	2	0.303	1.000	1.000
4	1	0.479	0.354	1.000
4	6	0.347	0.312	1.000
4	9	0.220	0.334	1.000
5	2	0.341	1.000	1.000
6	1	0.521	0.271	1.000
6	6	0.653	0.244	1.000
6	9	0.349	0.485	1.000
7	0	0.384	0.669	1.000
7	7	0.400	0.331	1.000
8	4	1.000	0.281	1.000
8	9	0.384	0.719	1.000
9	0	0.361	0.133	1.000
9	7	0.600	0.867	1.000
