#N	alpha	gamma	mu	phi	psi	rho	sigm
0	1.000	1.217	1.423	0.559	0.709	0.000	0.762
1	0.288	0.909	1.163	0.979	0.858	1.000	0.805
2	0.393	0.632	1.051	0.618	0.872	1.000	0.597
3	1.000	0.973	1.492	0.767	0.769	0.000	0.640
4	0.234	0.777	1.319	0.106	0.511	1.000	0.863
5	1.000	1.114	1.452	0.430	0.881	0.000	0.905
6	0.092	0.955	1.105	0.344	0.590	1.000	0.660
7	1.000	0.666	1.157	0.621	0.559	0.000	0.893
8	1.000	1.104	1.440	0.235	0.975	0.000	0.827
9	0.393	0.635	1.475	0.075	0.567	1.000	0.000
#From	To	chi[to]	beta[fr]	lambda
0	4	0.050	1.000	1.000
1	4	0.111	1.000	1.000
2	1	0.270	0.957	1.000
2	4	0.171	0.043	1.000
3	1	0.379	0.097	1.000
3	4	0.238	0.903	1.000
4	4	0.099	0.954	1.000
4	6	1.000	0.046	1.000
5	2	0.301	0.960	1.000
5	9	0.913	0.040	1.000
6	4	0.275	1.000	1.000
7	1	0.351	0.319	1.000
7	4	0.054	0.681	1.000
8	2	0.699	0.486	1.000
8	9	0.087	0.514	1.000
