#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.061	0.625	1.034	0.741	0.566	1.000	0.989
1	0.139	0.511	1.393	0.874	0.867	1.000	0.696
2	0.022	1.291	1.290	0.946	0.615	1.000	0.767
3	1.000	1.126	1.445	0.066	0.527	0.000	0.653
4	0.288	0.676	1.136	0.347	0.748	1.000	0.521
5	0.055	1.416	1.091	0.533	0.672	1.000	0.567
6	0.393	1.343	1.205	0.778	0.839	1.000	0.575
7	1.000	0.839	1.131	0.044	0.634	0.000	0.621
8	0.057	0.582	1.119	0.361	0.822	1.000	0.713
9	0.154	0.596	1.178	0.841	0.926	1.000	0.921
#From	To	chi[to]	beta[fr]	lambda
0	1	0.049	0.581	1.000
0	5	0.440	0.419	1.000
1	1	0.523	0.497	1.000
1	5	0.043	0.503	1.000
2	8	0.213	1.000	1.000
3	4	0.143	0.767	1.000
3	6	1.000	0.233	1.000
4	1	0.428	0.961	1.000
4	5	0.383	0.039	1.000
5	2	0.506	0.782	1.000
5	8	0.585	0.218	1.000
6	4	0.367	0.706	1.000
6	9	1.000	0.294	1.000
7	4	0.490	1.000	1.000
8	2	0.494	0.905	1.000
8	8	0.203	0.095	1.000
9	0	1.000	0.811	1.000
9	5	0.134	0.189	1.000
