#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.393	1.498	1.106	0.961	0.768	1.000	0.000
1	1.000	1.216	1.041	0.693	0.778	0.000	0.896
2	1.000	0.553	1.179	0.649	0.993	0.000	0.853
3	1.000	0.608	1.381	0.788	0.916	0.000	0.775
4	0.311	1.081	1.439	0.048	0.986	1.000	0.764
5	0.393	0.996	1.384	0.635	0.996	1.000	0.000
6	0.173	0.630	1.279	0.092	0.862	1.000	0.000
7	0.627	0.655	1.368	0.762	0.959	1.000	0.926
8	0.363	0.800	1.008	0.116	0.682	1.000	0.792
9	0.336	0.661	1.468	0.997	0.763	1.000	0.855
#From	To	chi[to]	beta[fr]	lambda
1	6	0.063	1.000	1.000
2	5	1.000	0.214	1.000
2	9	0.306	0.786	1.000
3	0	1.000	0.037	1.000
3	4	0.892	0.181	1.000
3	7	0.078	0.161	1.000
3	9	0.064	0.621	1.000
4	6	0.198	1.000	1.000
7	4	0.108	0.396	1.000
7	7	0.922	0.293	1.000
7	9	0.630	0.311	1.000
8	6	0.436	0.967	1.000
8	8	0.177	0.033	1.000
9	6	0.303	0.463	1.000
9	8	0.823	0.537	1.000
