#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.314	0.942	1.359	0.727	0.821	1.000	0.854
1	1.000	0.622	1.104	0.003	0.845	0.000	0.966
2	0.187	0.946	1.474	0.279	0.632	1.000	0.000
3	1.000	0.606	1.367	0.640	0.782	0.000	0.918
4	0.326	0.552	1.275	0.504	0.804	1.000	0.620
5	1.000	0.530	1.471	0.310	0.993	0.000	0.626
6	0.288	0.616	1.372	0.121	0.931	1.000	0.856
7	1.000	0.965	1.142	0.439	0.912	0.000	0.814
8	0.393	0.605	1.111	0.021	0.789	1.000	0.997
9	1.000	0.670	1.062	0.267	0.938	0.000	0.872
#From	To	chi[to]	beta[fr]	lambda
0	0	0.111	0.851	1.000
0	2	0.217	0.149	1.000
1	4	0.268	1.000	1.000
3	4	0.385	1.000	1.000
4	0	0.029	0.605	1.000
4	2	0.025	0.395	1.000
5	0	0.717	0.771	1.000
5	2	0.218	0.229	1.000
6	2	0.324	1.000	1.000
7	0	0.122	0.045	1.000
7	2	0.089	0.304	1.000
7	4	0.115	0.308	1.000
7	6	0.215	0.342	1.000
8	0	0.022	0.350	1.000
8	2	0.127	0.240	1.000
8	4	0.169	0.310	1.000
8	6	0.601	0.100	1.000
9	4	0.063	0.120	1.000
9	6	0.184	0.435	1.000
9	8	1.000	0.445	1.000
