#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.246	1.181	1.432	0.979	0.577	1.000	0.811
1	0.393	1.432	1.057	0.371	0.507	1.000	0.964
2	1.000	1.274	1.382	0.741	0.513	0.000	0.700
3	1.000	1.365	1.007	0.358	0.996	0.000	0.632
4	0.311	1.147	1.083	0.848	0.725	1.000	0.000
5	0.122	0.640	1.215	0.751	0.542	1.000	0.511
6	0.048	1.051	1.197	0.781	0.944	1.000	0.880
7	1.000	0.678	1.317	0.265	0.886	0.000	0.523
8	0.154	1.187	1.493	0.200	0.761	1.000	0.773
9	1.000	1.224	1.342	0.896	0.659	0.000	0.793
#From	To	chi[to]	beta[fr]	lambda
0	5	0.449	1.000	1.000
1	0	0.288	0.398	1.000
1	8	1.000	0.602	1.000
2	1	0.914	1.000	1.000
3	1	0.086	1.000	1.000
4	4	0.281	1.000	1.000
5	5	0.332	0.940	1.000
5	6	1.000	0.060	1.000
6	5	0.219	1.000	1.000
7	0	0.712	0.708	1.000
7	4	0.573	0.292	1.000
8	4	0.031	1.000	1.000
9	4	0.116	1.000	1.000
