#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.393	0.900	1.326	0.173	0.768	1.000	0.590
1	1.000	1.320	1.301	0.055	0.977	0.000	0.721
2	0.105	1.345	1.398	0.476	0.645	1.000	0.000
3	0.106	1.212	1.367	0.889	0.726	1.000	0.000
4	1.000	1.185	1.115	0.066	0.510	0.000	0.772
5	1.000	1.420	1.021	0.779	0.570	0.000	0.674
6	0.270	1.026	1.383	0.193	0.581	1.000	0.860
7	0.393	0.822	1.401	0.783	0.687	1.000	0.727
8	0.246	0.786	1.248	0.949	0.996	1.000	0.547
9	0.288	1.425	1.207	0.641	0.879	1.000	0.971
#From	To	chi[to]	beta[fr]	lambda
0	6	0.083	0.860	1.000
0	8	0.119	0.140	1.000
1	6	0.311	0.217	1.000
1	8	0.159	0.399	1.000
1	9	0.294	0.384	1.000
4	0	1.000	0.446	1.000
4	6	0.059	0.554	1.000
5	6	0.267	0.115	1.000
5	7	1.000	0.133	1.000
5	8	0.238	0.570	1.000
5	9	0.688	0.183	1.000
6	2	0.568	0.083	1.000
6	3	1.000	0.917	1.000
7	6	0.281	0.272	1.000
7	8	0.485	0.384	1.000
7	9	0.017	0.344	1.000
8	2	0.130	1.000	1.000
9	2	0.302	1.000	1.000
