#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.211	1.196	1.417	0.875	0.804	1.000	0.000
1	0.186	1.142	1.177	0.056	0.686	1.000	0.000
2	0.393	1.152	1.284	0.488	0.741	1.000	0.992
3	0.393	1.069	1.476	0.360	0.832	1.000	0.962
4	1.000	0.893	1.393	0.959	0.914	0.000	0.962
5	1.000	0.540	1.196	0.963	0.889	0.000	0.961
6	1.000	0.777	1.161	0.540	0.678	0.000	0.866
7	0.393	0.546	1.028	0.913	0.962	1.000	0.588
8	0.393	0.943	1.373	0.772	0.964	1.000	0.000
9	0.393	1.178	1.302	0.166	0.884	1.000	0.562
#From	To	chi[to]	beta[fr]	lambda
2	0	0.276	0.331	1.000
2	1	0.034	0.461	1.000
2	7	0.806	0.208	1.000
3	1	0.059	1.000	1.000
4	0	0.235	0.623	1.000
4	1	0.230	0.129	1.000
4	2	1.000	0.163	1.000
4	8	1.000	0.085	1.000
5	3	1.000	1.000	1.000
6	9	1.000	1.000	1.000
7	0	0.489	0.355	1.000
7	1	0.242	0.288	1.000
7	7	0.194	0.358	1.000
9	1	0.435	1.000	1.000
