#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.115	0.939	1.446	0.814	0.665	1.000	0.993
1	0.125	1.317	1.118	0.981	0.754	1.000	0.993
2	0.023	0.885	1.406	0.580	0.642	1.000	0.638
3	0.032	0.707	1.171	0.481	0.863	1.000	0.805
4	0.026	1.323	1.043	0.129	0.764	1.000	0.687
5	0.040	0.891	1.120	0.786	0.980	1.000	0.834
6	0.131	1.099	1.189	0.568	0.622	1.000	0.776
7	0.020	0.670	1.421	0.351	0.799	1.000	0.621
8	0.014	1.173	1.053	0.960	0.523	1.000	0.930
9	0.017	0.929	1.062	0.009	0.611	1.000	0.725
10	0.020	1.400	1.331	0.665	0.581	1.000	0.561
11	0.010	0.676	1.342	0.489	0.766	1.000	0.788
12	0.083	1.294	1.069	0.350	0.761	1.000	0.802
13	0.044	0.681	1.490	0.245	0.775	1.000	0.543
14	0.078	1.038	1.451	0.978	0.912	1.000	0.791
15	0.052	0.581	1.249	0.363	0.678	1.000	0.976
16	0.393	1.273	1.243	0.198	0.604	1.000	0.836
17	0.022	1.401	1.166	0.001	0.528	1.000	0.886
18	0.393	0.658	1.190	0.616	0.665	1.000	0.643
19	1.000	1.199	1.242	0.908	0.819	0.000	0.553
20	0.049	0.998	1.062	0.273	0.716	1.000	0.787
21	0.027	0.836	1.118	0.902	0.638	1.000	0.752
22	0.211	1.063	1.101	0.323	0.998	1.000	0.979
23	0.021	1.034	1.475	0.180	0.897	1.000	0.846
24	0.017	1.120	1.131	0.594	0.518	1.000	0.882
25	0.050	1.469	1.454	0.171	0.808	1.000	0.896
26	0.167	1.399	1.063	0.063	0.532	1.000	0.895
27	0.026	1.360	1.196	0.977	0.571	1.000	0.648
28	0.016	0.895	1.213	0.243	0.805	1.000	0.719
29	0.120	0.979	1.457	0.705	0.818	1.000	0.898
#From	To	chi[to]	beta[fr]	lambda
0	0	0.612	0.005	1.000
0	3	0.111	0.121	1.000
0	5	0.357	0.167	1.000
0	13	0.069	0.116	1.000
0	14	0.185	0.190	1.000
0	20	0.017	0.051	1.000
0	21	0.075	0.144	1.000
0	25	0.369	0.207	1.000
1	8	0.099	0.133	1.000
1	9	0.144	0.025	1.000
1	11	0.174	0.228	1.000
1	24	0.071	0.392	1.000
1	28	0.152	0.223	1.000
2	7	0.208	0.018	1.000
2	8	0.061	0.006	1.000
2	9	0.149	0.029	1.000
2	10	0.066	0.217	1.000
2	21	0.129	0.247	1.000
2	23	0.003	0.278	1.000
2	24	0.075	0.205	1.000
3	8	0.103	0.228	1.000
3	9	0.010	0.297	1.000
3	11	0.077	0.139	1.000
3	24	0.011	0.294	1.000
3	28	0.036	0.042	1.000
4	8	0.011	0.208	1.000
4	9	0.182	0.164	1.000
4	11	0.165	0.180	1.000
4	24	0.013	0.248	1.000
4	28	0.042	0.201	1.000
5	2	0.390	0.237	1.000
5	3	0.191	0.159	1.000
5	13	0.091	0.042	1.000
5	17	0.224	0.209	1.000
5	20	0.008	0.175	1.000
5	21	0.077	0.159	1.000
5	23	0.161	0.018	1.000
6	2	0.095	0.144	1.000
6	3	0.156	0.093	1.000
6	4	0.398	0.048	1.000
6	6	0.601	0.014	1.000
6	10	0.328	0.005	1.000
6	17	0.099	0.214	1.000
6	20	0.185	0.083	1.000
6	21	0.046	0.048	1.000
6	23	0.116	0.204	1.000
6	24	0.029	0.109	1.000
6	27	0.293	0.038	1.000
7	7	0.056	0.155	1.000
7	8	0.016	0.240	1.000
7	9	0.053	0.160	1.000
7	21	0.066	0.015	1.000
7	23	0.127	0.036	1.000
7	24	0.037	0.181	1.000
7	28	0.039	0.213	1.000
8	8	0.098	0.380	1.000
8	11	0.092	0.108	1.000
8	24	0.011	0.375	1.000
8	28	0.096	0.137	1.000
