#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.061	1.149	1.337	0.963	0.735	1.000	0.791
1	0.139	0.714	1.469	0.970	0.744	1.000	0.718
2	0.022	1.059	1.251	0.578	0.923	1.000	0.965
3	1.000	1.486	1.491	0.757	0.775	0.000	0.828
4	0.288	1.275	1.356	0.055	0.529	1.000	0.562
5	0.055	0.978	1.388	0.579	0.652	1.000	0.771
6	0.393	0.862	1.317	0.932	0.510	1.000	0.659
7	1.000	1.003	1.303	0.483	0.838	0.000	0.786
8	0.057	1.384	1.305	0.498	0.883	1.000	0.975
9	0.154	1.414	1.293	0.888	0.785	1.000	0.661
#From	To	chi[to]	beta[fr]	lambda
0	1	0.338	0.309	1.000
0	5	0.410	0.691	1.000
1	1	0.307	0.325	1.000
1	5	0.068	0.675	1.000
2	8	0.348	1.000	1.000
3	4	0.266	0.876	1.000
3	6	1.000	0.124	1.000
4	1	0.355	0.607	1.000
4	5	0.070	0.393	1.000
5	2	0.087	0.850	1.000
5	8	0.484	0.150	1.000
6	4	0.476	0.217	1.000
6	9	1.000	0.783	1.000
7	4	0.258	1.000	1.000
8	2	0.913	0.579	1.000
8	8	0.168	0.421	1.000
9	0	1.000	0.667	1.000
9	5	0.452	0.333	1.000
