#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.246	1.087	1.447	0.412	0.901	1.000	0.583
1	0.393	1.431	1.026	0.573	0.999	1.000	0.893
2	1.000	1.259	1.174	0.218	0.829	0.000	0.645
3	1.000	0.598	1.480	0.982	0.772	0.000	0.792
4	0.311	1.213	1.108	0.245	0.843	1.000	0.000
5	0.122	1.314	1.389	0.262	0.654	1.000	0.804
6	0.048	1.302	1.350	0.709	0.820	1.000	0.864
7	1.000	0.818	1.189	0.197	0.583	0.000	0.849
8	0.154	1.331	1.324	0.261	0.938	1.000	0.606
9	1.000	1.264	1.289	0.207	0.550	0.000	0.794
#From	To	chi[to]	beta[fr]	lambda
0	5	0.483	1.000	1.000
1	0	0.347	0.616	1.000
1	8	1.000	0.384	1.000
2	1	0.697	1.000	1.000
3	1	0.303	1.000	1.000
4	4	0.318	1.000	1.000
5	5	0.026	0.393	1.000
5	6	1.000	0.607	1.000
6	5	0.491	1.000	1.000
7	0	0.653	0.128	1.000
7	4	0.159	0.872	1.000
8	4	0.024	1.000	1.000
9	4	0.499	1.000	1.000
