#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.393	0.902	1.017	0.878	0.803	1.000	0.513
1	1.000	0.818	1.057	0.341	0.804	0.000	0.971
2	0.105	1.133	1.165	0.618	0.515	1.000	0.000
3	0.106	1.000	1.426	0.392	0.893	1.000	0.000
4	1.000	1.327	1.022	0.540	0.816	0.000	0.929
5	1.000	0.809	1.399	0.441	0.951	0.000	0.786
6	0.270	1.067	1.459	0.438	0.550	1.000	0.547
7	0.393	1.283	1.138	0.725	0.774	1.000	0.974
8	0.246	1.244	1.144	0.679	0.574	1.000	0.845
9	0.288	0.634	1.273	0.169	0.762	1.000	0.751
#From	To	chi[to]	beta[fr]	lambda
0	6	0.179	0.886	1.000
0	8	0.268	0.114	1.000
1	6	0.209	0.459	1.000
1	8	0.204	0.261	1.000
1	9	0.782	0.280	1.000
4	0	1.000	0.488	1.000
4	6	0.017	0.512	1.000
5	6	0.283	0.263	1.000
5	7	1.000	0.149	1.000
5	8	0.156	0.290	1.000
5	9	0.108	0.298	1.000
6	2	0.461	0.306	1.000
6	3	1.000	0.694	1.000
7	6	0.312	0.373	1.000
7	8	0.371	0.494	1.000
7	9	0.110	0.133	1.000
8	2	0.076	1.000	1.000
9	2	0.462	1.000	1.000
