#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.061	1.141	1.023	0.185	0.664	1.000	0.630
1	0.139	1.212	1.307	0.876	0.537	1.000	0.900
2	0.022	0.998	1.246	0.193	0.685	1.000	0.760
3	1.000	0.600	1.474	0.482	0.536	0.000	0.720
4	0.288	0.566	1.400	0.854	0.565	1.000	0.538
5	0.055	1.207	1.260	0.917	0.991	1.000	0.569
6	0.393	1.196	1.005	0.026	0.689	1.000	0.986
7	1.000	0.857	1.005	0.580	0.610	0.000	0.675
8	0.057	1.420	1.327	0.945	0.941	1.000	0.951
9	0.154	1.190	1.084	0.939	0.663	1.000	0.720
#From	To	chi[to]	beta[fr]	lambda
0	1	0.420	0.700	1.000
0	5	0.264	0.300	1.000
1	1	0.209	0.596	1.000
1	5	0.353	0.404	1.000
2	8	0.513	1.000	1.000
3	4	0.402	0.519	1.000
3	6	1.000	0.481	1.000
4	1	0.370	0.429	1.000
4	5	0.311	0.571	1.000
5	2	0.848	0.080	1.000
5	8	0.335	0.920	1.000
6	4	0.034	0.680	1.000
6	9	1.000	0.320	1.000
7	4	0.564	1.000	1.000
8	2	0.152	0.747	1.000
8	8	0.152	0.253	1.000
9	0	1.000	0.324	1.000
9	5	0.072	0.676	1.000
