#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.054	1.022	1.237	0.701	0.990	1.000	0.702
1	0.101	0.558	1.428	0.903	0.931	1.000	0.000
2	1.000	0.693	1.453	0.074	0.705	0.000	0.860
3	0.393	0.832	1.239	0.993	0.766	1.000	0.726
4	0.137	1.408	1.112	0.637	0.505	1.000	0.659
5	0.122	0.790	1.354	0.660	0.680	1.000	0.799
6	0.032	1.012	1.096	0.364	0.550	1.000	0.000
7	0.627	1.287	1.121	0.005	0.661	1.000	0.776
8	0.311	1.363	1.103	0.909	0.973	1.000	0.986
9	0.122	1.056	1.036	0.280	0.913	1.000	0.527
#From	To	chi[to]	beta[fr]	lambda
0	1	0.336	0.583	1.000
0	6	0.479	0.417	1.000
1	1	0.175	1.000	1.000
2	3	1.000	0.065	1.000
2	7	0.242	0.035	1.000
2	8	0.272	0.900	1.000
3	4	0.232	1.000	1.000
4	0	1.000	1.000	1.000
5	1	0.489	1.000	1.000
7	7	0.758	0.382	1.000
7	8	0.728	0.618	1.000
8	4	0.768	0.383	1.000
8	5	1.000	0.383	1.000
8	9	1.000	0.234	1.000
9	6	0.521	1.000	1.000
