#N	alpha	gamma	mu	phi	psi	rho	sigm
0	1.000	1.149	1.178	0.207	0.993	0.000	0.505
1	0.313	1.238	1.443	0.268	0.935	1.000	0.000
2	0.536	0.674	1.455	0.725	0.806	1.000	0.945
3	1.000	1.371	1.373	0.438	0.509	0.000	0.775
4	1.000	0.797	1.038	0.033	0.599	0.000	0.759
5	1.000	1.457	1.075	0.828	0.935	0.000	0.928
6	0.393	1.348	1.126	0.331	0.640	1.000	0.800
7	1.000	1.079	1.160	0.271	0.644	0.000	0.993
8	1.000	0.895	1.310	0.718	0.663	0.000	0.730
9	0.319	1.080	1.135	0.713	0.683	1.000	0.831
#From	To	chi[to]	beta[fr]	lambda
0	6	0.048	1.000	1.000
1	1	0.248	1.000	1.000
2	2	0.508	0.636	1.000
2	9	0.268	0.364	1.000
3	2	0.024	0.287	1.000
3	9	0.222	0.713	1.000
4	6	0.952	1.000	1.000
5	1	0.231	1.000	1.000
6	1	0.178	1.000	1.000
7	1	0.097	1.000	1.000
8	2	0.468	0.290	1.000
8	9	0.510	0.710	1.000
9	1	0.247	1.000	1.000
