#N	alpha	gamma	mu	phi	psi	rho	sigm
0	1.000	1.271	1.493	0.024	0.983	0.000	0.635
1	1.000	1.284	1.020	0.727	0.935	0.000	0.873
2	0.275	1.233	1.132	0.636	0.546	1.000	0.000
3	0.230	1.466	1.305	0.416	0.754	1.000	0.952
4	0.135	0.541	1.008	0.851	0.826	1.000	0.851
5	0.263	1.250	1.491	0.697	0.875	1.000	0.000
6	0.344	0.681	1.157	0.126	0.876	1.000	0.811
7	0.169	1.309	1.101	0.340	0.685	1.000	0.000
8	1.000	1.440	1.354	0.966	0.529	0.000	0.661
9	0.135	1.347	1.216	0.202	0.954	1.000	0.000
#From	To	chi[to]	beta[fr]	lambda
0	5	0.264	0.418	1.000
0	6	0.357	0.471	1.000
0	7	0.509	0.111	1.000
1	2	0.297	1.000	1.000
2	2	0.328	1.000	1.000
3	5	0.038	0.077	1.000
3	6	0.113	0.029	1.000
3	7	0.409	0.894	1.000
4	2	0.375	1.000	1.000
5	5	0.099	1.000	1.000
6	3	0.341	0.096	1.000
6	4	1.000	0.157	1.000
6	5	0.599	0.052	1.000
6	6	0.340	0.249	1.000
6	7	0.082	0.203	1.000
6	9	1.000	0.242	1.000
8	3	0.659	0.243	1.000
8	6	0.190	0.757	1.000
