#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.061	1.268	1.345	0.429	0.814	1.000	0.879
1	0.139	0.920	1.215	0.797	0.987	1.000	0.988
2	0.022	1.052	1.348	0.494	0.553	1.000	0.837
3	1.000	1.304	1.347	0.731	0.580	0.000	0.793
4	0.288	1.020	1.010	0.568	0.846	1.000	0.729
5	0.055	0.805	1.131	0.749	0.948	1.000	0.608
6	0.393	0.743	1.452	0.682	0.722	1.000	0.652
7	1.000	1.028	1.105	0.439	0.675	0.000	0.513
8	0.057	0.708	1.306	0.707	0.667	1.000	0.749
9	0.154	0.519	1.416	0.590	0.601	1.000	0.528
#From	To	chi[to]	beta[fr]	lambda
0	1	0.235	0.524	1.000
0	5	0.041	0.476	1.000
1	1	0.678	0.435	1.000
1	5	0.450	0.565	1.000
2	8	0.478	1.000	1.000
3	4	0.536	0.463	1.000
3	6	1.000	0.537	1.000
4	1	0.087	0.306	1.000
4	5	0.086	0.694	1.000
5	2	0.772	0.352	1.000
5	8	0.444	0.648	1.000
6	4	0.186	0.087	1.000
6	9	1.000	0.913	1.000
7	4	0.279	1.000	1.000
8	2	0.228	0.360	1.000
8	8	0.077	0.640	1.000
9	0	1.000	0.488	1.000
9	5	0.423	0.512	1.000
