#N	alpha	gamma	mu	phi	psi	rho	sigm
0	1.000	0.999	1.291	0.339	0.920	0.000	0.713
1	0.167	0.833	1.169	0.922	0.749	1.000	0.000
2	0.627	0.939	1.286	0.678	0.659	1.000	0.808
3	0.246	1.389	1.464	0.737	0.944	1.000	0.606
4	0.336	0.544	1.203	0.637	0.617	1.000	0.656
5	0.311	0.565	1.441	0.715	0.610	1.000	0.500
6	0.097	0.915	1.160	0.837	0.727	1.000	0.665
7	0.171	0.510	1.431	0.838	0.866	1.000	0.514
8	1.000	0.577	1.371	0.391	0.776	0.000	0.968
9	1.000	0.856	1.461	0.102	0.593	0.000	0.675
#From	To	chi[to]	beta[fr]	lambda
0	2	0.674	0.107	1.000
0	5	0.626	0.893	1.000
1	1	0.041	1.000	1.000
2	2	0.326	0.342	1.000
2	3	1.000	0.585	1.000
2	5	0.374	0.073	1.000
3	1	0.068	0.134	1.000
3	4	0.330	0.417	1.000
3	6	1.000	0.132	1.000
3	7	0.391	0.317	1.000
4	1	0.057	0.306	1.000
4	4	0.538	0.422	1.000
4	7	0.530	0.271	1.000
5	1	0.390	1.000	1.000
6	1	0.146	1.000	1.000
7	1	0.118	1.000	1.000
8	1	0.169	0.544	1.000
8	4	0.132	0.180	1.000
8	7	0.080	0.276	1.000
9	1	0.012	1.000	1.000
