#N	alpha	gamma	mu	phi	psi	rho	sigm
0	1.000	0.831	1.142	0.053	0.519	0.000	0.594
1	1.000	0.824	1.430	0.927	0.650	0.000	0.894
2	0.393	1.120	1.122	0.755	0.602	1.000	0.933
3	1.000	1.162	1.468	0.001	0.845	0.000	0.788
4	1.000	0.796	1.188	0.023	0.716	0.000	0.567
5	1.000	1.142	1.318	0.133	0.657	0.000	0.658
6	0.232	0.765	1.075	0.267	0.859	1.000	0.601
7	0.393	0.689	1.264	0.010	0.825	1.000	0.528
8	0.308	0.637	1.151	0.563	0.604	1.000	0.852
9	0.246	0.938	1.394	0.758	0.977	1.000	0.000
#From	To	chi[to]	beta[fr]	lambda
0	2	1.000	0.397	1.000
0	7	1.000	0.603	1.000
1	6	0.427	0.523	1.000
1	8	0.095	0.477	1.000
2	9	0.740	1.000	1.000
3	8	0.251	1.000	1.000
4	9	0.260	1.000	1.000
5	6	0.380	0.637	1.000
5	8	0.017	0.363	1.000
6	8	0.184	1.000	1.000
7	6	0.088	0.130	1.000
7	8	0.244	0.870	1.000
8	6	0.105	0.613	1.000
8	8	0.209	0.387	1.000
