#N	alpha	gamma	mu	phi	psi	rho	sigm
0	1.000	0.911	1.457	0.473	0.579	0.000	0.653
1	0.167	0.953	1.345	0.438	0.665	1.000	0.000
2	0.627	1.269	1.144	0.778	0.805	1.000	0.892
3	0.246	1.476	1.003	0.032	0.713	1.000	0.909
4	0.336	0.707	1.354	0.019	0.653	1.000	0.991
5	0.311	0.887	1.301	0.599	0.913	1.000	0.735
6	0.097	0.817	1.033	0.066	0.918	1.000	0.578
7	0.171	1.104	1.499	0.000	0.972	1.000	0.944
8	1.000	1.411	1.391	0.942	0.758	0.000	0.625
9	1.000	1.242	1.439	0.426	0.937	0.000	0.692
#From	To	chi[to]	beta[fr]	lambda
0	2	0.526	0.504	1.000
0	5	0.539	0.496	1.000
1	1	0.071	1.000	1.000
2	2	0.474	0.435	1.000
2	3	1.000	0.427	1.000
2	5	0.461	0.138	1.000
3	1	0.169	0.223	1.000
3	4	0.524	0.132	1.000
3	6	1.000	0.299	1.000
3	7	0.627	0.346	1.000
4	1	0.139	0.589	1.000
4	4	0.070	0.111	1.000
4	7	0.190	0.300	1.000
5	1	0.176	1.000	1.000
6	1	0.156	1.000	1.000
7	1	0.115	1.000	1.000
8	1	0.044	0.339	1.000
8	4	0.406	0.153	1.000
8	7	0.183	0.508	1.000
9	1	0.129	1.000	1.000
