#N	alpha	gamma	mu	phi	psi	rho	sigm
0	1.000	0.584	1.185	0.291	0.631	0.000	0.874
1	0.167	1.091	1.028	0.906	0.549	1.000	0.000
2	0.627	0.951	1.170	0.048	0.696	1.000	0.571
3	0.246	0.879	1.148	0.874	0.623	1.000	0.894
4	0.336	0.637	1.249	0.868	0.821	1.000	0.651
5	0.311	1.451	1.425	0.364	0.626	1.000	0.934
6	0.097	1.150	1.206	0.472	0.919	1.000	0.820
7	0.171	1.495	1.068	0.499	0.764	1.000	0.752
8	1.000	1.399	1.477	0.204	0.673	0.000	0.547
9	1.000	0.797	1.281	0.690	0.717	0.000	0.711
#From	To	chi[to]	beta[fr]	lambda
0	2	0.355	0.024	1.000
0	5	0.936	0.976	1.000
1	1	0.242	1.000	1.000
2	2	0.645	0.177	1.000
2	3	1.000	0.444	1.000
2	5	0.064	0.379	1.000
3	1	0.130	0.338	1.000
3	4	0.440	0.183	1.000
3	6	1.000	0.239	1.000
3	7	0.398	0.240	1.000
4	1	0.026	0.409	1.000
4	4	0.189	0.424	1.000
4	7	0.250	0.167	1.000
5	1	0.063	1.000	1.000
6	1	0.288	1.000	1.000
7	1	0.083	1.000	1.000
8	1	0.091	0.302	1.000
8	4	0.371	0.184	1.000
8	7	0.353	0.514	1.000
9	1	0.078	1.000	1.000
