#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.092	0.930	1.410	0.654	0.816	1.000	0.814
1	0.154	0.898	1.425	0.808	0.957	1.000	0.546
2	0.074	0.549	1.328	0.576	0.855	1.000	0.652
3	0.046	1.206	1.171	0.548	0.551	1.000	0.728
4	0.097	0.668	1.490	0.709	0.550	1.000	0.999
5	0.154	0.840	1.121	0.713	0.895	1.000	0.862
6	0.106	1.088	1.135	0.282	0.699	1.000	0.791
7	0.393	0.931	1.091	0.321	0.553	1.000	0.566
8	0.056	0.704	1.321	0.079	0.831	1.000	0.625
9	0.053	0.548	1.387	0.819	0.845	1.000	0.832
10	0.154	1.392	1.294	0.158	0.838	1.000	0.532
11	1.000	1.269	1.244	0.970	0.821	0.000	0.721
12	0.154	0.815	1.433	0.926	0.762	1.000	0.569
13	1.000	1.288	1.145	0.359	0.706	0.000	0.774
14	0.101	0.820	1.143	0.329	0.874	1.000	0.880
15	0.046	1.392	1.078	0.702	0.657	1.000	0.782
16	1.000	0.947	1.244	0.047	0.547	0.000	0.550
17	0.054	0.535	1.495	0.963	0.881	1.000	0.000
18	0.060	1.239	1.381	0.072	0.629	1.000	0.556
19	1.000	1.143	1.424	0.303	0.834	0.000	0.799
20	0.100	1.238	1.013	0.808	0.976	1.000	0.761
21	0.058	0.635	1.121	0.723	0.965	1.000	0.559
22	0.393	1.274	1.353	0.204	0.809	1.000	0.740
23	0.154	1.300	1.030	0.345	0.596	1.000	0.639
24	0.113	1.441	1.143	0.203	0.575	1.000	0.975
25	0.154	0.814	1.115	0.367	0.616	1.000	0.859
26	0.065	0.880	1.187	0.752	0.777	1.000	0.558
27	0.073	1.232	1.150	0.018	0.864	1.000	0.932
28	0.122	0.559	1.043	0.208	0.894	1.000	0.908
29	0.154	1.185	1.201	0.854	0.940	1.000	0.891
#From	To	chi[to]	beta[fr]	lambda
0	0	0.183	0.058	1.000
0	2	0.044	0.082	1.000
0	3	0.150	0.208	1.000
0	15	0.025	0.246	1.000
0	17	0.070	0.135	1.000
0	18	0.054	0.033	1.000
0	21	0.059	0.193	1.000
0	26	0.109	0.025	1.000
0	27	0.016	0.020	1.000
1	15	0.013	0.161	1.000
1	17	0.036	0.331	1.000
1	21	0.043	0.508	1.000
2	2	0.080	0.065	1.000
2	6	0.410	0.217	1.000
2	15	0.009	0.172	1.000
2	17	0.062	0.211	1.000
2	21	0.058	0.068	1.000
2	26	0.015	0.047	1.000
2	27	0.009	0.220	1.000
3	17	0.063	0.741	1.000
3	21	0.041	0.259	1.000
4	2	0.134	0.058	1.000
4	3	0.037	0.159	1.000
4	15	0.011	0.175	1.000
4	17	0.055	0.162	1.000
4	18	0.122	0.160	1.000
4	21	0.006	0.129	1.000
4	26	0.044	0.149	1.000
4	27	0.165	0.009	1.000
5	0	0.169	0.094	1.000
5	2	0.102	0.068	1.000
5	3	0.167	0.112	1.000
5	8	0.384	0.085	1.000
5	9	0.315	0.003	1.000
5	14	0.171	0.041	1.000
5	15	0.074	0.144	1.000
5	17	0.013	0.020	1.000
5	18	0.002	0.065	1.000
5	21	0.055	0.136	1.000
5	26	0.051	0.114	1.000
5	27	0.040	0.118	1.000
6	15	0.036	0.011	1.000
6	17	0.020	0.212	1.000
6	21	0.060	0.310	1.000
6	26	0.067	0.354	1.000
6	27	0.135	0.113	1.000
7	5	0.066	0.325	1.000
7	12	0.355	0.387	1.000
7	20	0.149	0.190	1.000
7	22	0.517	0.057	1.000
7	25	0.785	0.042	1.000
8	15	0.039	0.297	1.000
8	17	0.054	0.149	1.000
8	21	0.024	0.289	1.000
8	26	0.117	0.265	1.000
9	15	0.062	0.167	1.000
9	17	0.054	0.259	1.000
9	21	0.002	0.574	1.000
10	4	0.715	0.058	1.000
