#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.336	0.992	1.383	0.521	0.541	1.000	0.941
1	1.000	1.372	1.093	0.290	0.593	0.000	0.730
2	1.000	0.675	1.161	0.676	0.563	0.000	0.685
3	0.288	1.259	1.237	0.052	0.894	1.000	0.000
4	1.000	1.139	1.030	0.219	0.595	0.000	0.740
5	0.211	1.452	1.040	0.302	0.977	1.000	0.804
6	0.393	0.601	1.357	0.111	0.547	1.000	0.965
7	0.393	0.765	1.325	0.525	0.759	1.000	0.000
8	1.000	1.355	1.322	0.233	0.807	0.000	0.830
9	0.246	1.266	1.302	0.246	0.661	1.000	0.587
#From	To	chi[to]	beta[fr]	lambda
0	0	0.336	0.303	1.000
0	5	0.461	0.697	1.000
1	0	0.369	0.485	1.000
1	5	0.324	0.515	1.000
2	9	0.382	1.000	1.000
3	3	0.885	1.000	1.000
4	5	0.136	1.000	1.000
5	3	0.115	1.000	1.000
6	9	0.618	1.000	1.000
8	6	1.000	0.612	1.000
8	7	1.000	0.388	1.000
9	0	0.296	0.335	1.000
9	5	0.079	0.665	1.000
