#N	alpha	gamma	mu	phi	psi	rho	sigm
0	1.000	1.033	1.282	0.051	0.961	0.000	0.925
1	0.167	1.433	1.073	0.262	0.674	1.000	0.000
2	0.627	1.492	1.135	0.775	0.741	1.000	0.790
3	0.246	1.448	1.395	0.436	0.802	1.000	0.824
4	0.336	0.912	1.325	0.087	0.817	1.000	0.642
5	0.311	1.215	1.245	0.726	0.987	1.000	0.526
6	0.097	1.445	1.360	0.904	0.753	1.000	0.907
7	0.171	0.701	1.484	0.669	0.789	1.000	0.904
8	1.000	1.073	1.475	0.906	0.530	0.000	0.943
9	1.000	0.969	1.053	0.143	0.955	0.000	0.729
#From	To	chi[to]	beta[fr]	lambda
0	2	0.719	0.708	1.000
0	5	0.528	0.292	1.000
1	1	0.175	1.000	1.000
2	2	0.281	0.327	1.000
2	3	1.000	0.215	1.000
2	5	0.472	0.458	1.000
3	1	0.146	0.023	1.000
3	4	0.161	0.209	1.000
3	6	1.000	0.247	1.000
3	7	0.359	0.520	1.000
4	1	0.052	0.419	1.000
4	4	0.246	0.313	1.000
4	7	0.340	0.268	1.000
5	1	0.104	1.000	1.000
6	1	0.191	1.000	1.000
7	1	0.196	1.000	1.000
8	1	0.107	0.704	1.000
8	4	0.592	0.111	1.000
8	7	0.302	0.185	1.000
9	1	0.029	1.000	1.000
