#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.061	1.122	1.449	0.526	0.751	1.000	0.746
1	0.139	0.744	1.059	0.720	0.643	1.000	0.535
2	0.022	1.415	1.197	0.798	0.985	1.000	0.835
3	1.000	1.025	1.139	0.968	0.753	0.000	0.731
4	0.288	0.755	1.268	0.812	0.587	1.000	0.942
5	0.055	0.795	1.420	0.645	0.797	1.000	0.817
6	0.393	1.445	1.449	0.297	0.908	1.000	0.838
7	1.000	1.460	1.381	0.993	0.575	0.000	0.521
8	0.057	0.742	1.154	0.295	0.512	1.000	0.753
9	0.154	0.925	1.246	0.506	0.949	1.000	0.509
#From	To	chi[to]	beta[fr]	lambda
0	1	0.302	0.749	1.000
0	5	0.264	0.251	1.000
1	1	0.389	0.658	1.000
1	5	0.529	0.342	1.000
2	8	0.337	1.000	1.000
3	4	0.677	0.539	1.000
3	6	1.000	0.461	1.000
4	1	0.309	0.121	1.000
4	5	0.029	0.879	1.000
5	2	0.389	0.295	1.000
5	8	0.329	0.705	1.000
6	4	0.291	0.665	1.000
6	9	1.000	0.335	1.000
7	4	0.033	1.000	1.000
8	2	0.611	0.813	1.000
8	8	0.334	0.187	1.000
9	0	1.000	0.427	1.000
9	5	0.177	0.573	1.000
