#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.393	0.875	1.122	0.732	0.626	1.000	0.586
1	0.154	0.850	1.345	0.047	0.657	1.000	0.806
2	1.000	1.224	1.397	0.130	0.603	0.000	0.588
3	1.000	0.621	1.274	0.571	0.809	0.000	0.621
4	0.224	1.052	1.018	0.064	0.896	1.000	0.907
5	1.000	1.118	1.167	0.208	0.899	0.000	0.906
6	0.169	1.257	1.480	0.889	0.510	1.000	0.845
7	1.000	0.898	1.194	0.232	0.744	0.000	0.996
8	0.230	0.569	1.057	0.667	0.894	1.000	0.000
9	0.246	0.822	1.289	0.282	0.551	1.000	0.948
#From	To	chi[to]	beta[fr]	lambda
0	1	1.000	0.488	1.000
0	6	0.240	0.021	1.000
0	9	0.407	0.491	1.000
1	6	0.424	1.000	1.000
2	4	0.138	0.233	1.000
2	8	0.166	0.767	1.000
3	0	1.000	0.461	1.000
3	6	0.165	0.243	1.000
3	9	0.593	0.296	1.000
4	4	0.113	0.430	1.000
4	8	0.193	0.570	1.000
5	8	0.164	1.000	1.000
6	4	0.338	0.065	1.000
6	8	0.165	0.935	1.000
7	6	0.142	0.255	1.000
7	8	0.147	0.745	1.000
8	8	0.138	1.000	1.000
9	4	0.412	0.124	1.000
9	6	0.029	0.153	1.000
9	8	0.028	0.723	1.000
