#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.061	1.129	1.041	0.717	0.833	1.000	0.910
1	0.139	0.974	1.102	0.721	0.556	1.000	0.907
2	0.022	0.759	1.075	0.398	0.712	1.000	0.784
3	1.000	0.713	1.045	0.866	0.674	0.000	0.745
4	0.288	0.985	1.118	0.384	0.718	1.000	0.744
5	0.055	0.819	1.161	0.627	0.950	1.000	0.641
6	0.393	0.773	1.022	0.381	0.560	1.000	0.922
7	1.000	1.073	1.227	0.818	0.603	0.000	0.838
8	0.057	1.294	1.265	0.218	0.690	1.000	0.759
9	0.154	1.251	1.102	0.858	0.690	1.000	0.683
#From	To	chi[to]	beta[fr]	lambda
0	1	0.320	0.421	1.000
0	5	0.028	0.579	1.000
1	1	0.584	0.511	1.000
1	5	0.375	0.489	1.000
2	8	0.076	1.000	1.000
3	4	0.148	0.318	1.000
3	6	1.000	0.682	1.000
4	1	0.096	0.267	1.000
4	5	0.263	0.733	1.000
5	2	0.434	0.410	1.000
5	8	0.350	0.590	1.000
6	4	0.071	0.165	1.000
6	9	1.000	0.835	1.000
7	4	0.782	1.000	1.000
8	2	0.566	0.521	1.000
8	8	0.574	0.479	1.000
9	0	1.000	0.742	1.000
9	5	0.333	0.258	1.000
