#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.097	1.240	1.244	0.072	0.831	1.000	0.000
1	0.224	0.551	1.041	0.090	0.509	1.000	0.000
2	0.246	1.050	1.045	0.941	0.646	1.000	0.915
3	1.000	1.283	1.383	0.868	0.845	0.000	0.718
4	0.393	0.599	1.457	0.523	0.561	1.000	0.607
5	0.393	1.086	1.461	0.177	0.744	1.000	0.878
6	1.000	0.738	1.299	0.615	0.841	0.000	0.854
7	1.000	1.086	1.210	0.660	0.680	0.000	0.601
8	0.393	1.127	1.226	0.027	0.948	1.000	0.000
9	0.393	1.448	1.199	0.679	0.650	1.000	0.882
#From	To	chi[to]	beta[fr]	lambda
2	0	1.000	1.000	1.000
3	4	1.000	0.383	1.000
3	8	1.000	0.051	1.000
3	9	1.000	0.566	1.000
4	1	0.084	0.712	1.000
4	5	0.501	0.288	1.000
5	1	0.198	0.423	1.000
5	5	0.499	0.577	1.000
6	1	0.238	0.556	1.000
6	2	0.442	0.444	1.000
7	1	0.245	1.000	1.000
9	1	0.235	0.854	1.000
9	2	0.558	0.146	1.000
