#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.154	1.183	1.117	0.035	0.815	1.000	0.601
1	0.246	1.193	1.271	0.388	0.809	1.000	0.520
2	0.097	0.758	1.156	0.378	0.871	1.000	0.000
3	1.000	1.331	1.229	0.218	0.709	0.000	0.927
4	0.122	1.279	1.415	0.891	0.694	1.000	0.000
5	0.097	0.509	1.070	0.835	0.538	1.000	0.000
6	0.246	0.840	1.077	0.307	0.599	1.000	0.971
7	0.393	1.350	1.280	0.094	0.936	1.000	0.589
8	0.097	0.638	1.206	0.676	0.997	1.000	0.000
9	1.000	1.299	1.464	0.375	0.764	0.000	0.868
#From	To	chi[to]	beta[fr]	lambda
0	4	0.372	1.000	1.000
1	4	0.167	0.552	1.000
1	5	1.000	0.448	1.000
3	1	0.374	0.233	1.000
3	6	0.571	0.456	1.000
3	7	1.000	0.311	1.000
6	2	1.000	0.307	1.000
6	4	0.287	0.465	1.000
6	8	1.000	0.228	1.000
7	0	1.000	0.231	1.000
7	1	0.626	0.498	1.000
7	6	0.429	0.270	1.000
9	4	0.174	1.000	1.000
