#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.211	1.430	1.241	0.695	0.710	1.000	0.000
1	0.186	0.852	1.474	0.915	0.864	1.000	0.000
2	0.393	0.720	1.117	0.277	0.751	1.000	0.590
3	0.393	1.455	1.164	0.985	0.585	1.000	0.836
4	1.000	0.573	1.022	0.833	0.882	0.000	0.594
5	1.000	0.962	1.202	0.363	0.623	0.000	0.637
6	1.000	1.405	1.204	0.082	0.541	0.000	0.965
7	0.393	0.974	1.349	0.495	0.602	1.000	0.647
8	0.393	1.355	1.381	0.321	0.854	1.000	0.000
9	0.393	0.950	1.410	0.699	0.518	1.000	0.705
#From	To	chi[to]	beta[fr]	lambda
2	0	0.595	0.065	1.000
2	1	0.198	0.543	1.000
2	7	0.758	0.392	1.000
3	1	0.296	1.000	1.000
4	0	0.083	0.296	1.000
4	1	0.314	0.142	1.000
4	2	1.000	0.458	1.000
4	8	1.000	0.105	1.000
5	3	1.000	1.000	1.000
6	9	1.000	1.000	1.000
7	0	0.322	0.235	1.000
7	1	0.115	0.129	1.000
7	7	0.242	0.636	1.000
9	1	0.076	1.000	1.000
