#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.314	1.351	1.060	0.446	0.787	1.000	0.637
1	1.000	0.834	1.441	0.111	0.910	0.000	0.979
2	0.187	0.777	1.183	0.150	0.679	1.000	0.000
3	1.000	1.284	1.404	0.569	0.713	0.000	0.514
4	0.326	1.280	1.434	0.522	0.723	1.000	0.745
5	1.000	0.576	1.276	0.449	0.731	0.000	0.801
6	0.288	0.904	1.253	0.587	0.720	1.000	0.763
7	1.000	0.723	1.204	0.522	0.607	0.000	0.781
8	0.393	1.288	1.382	0.578	0.657	1.000	0.852
9	1.000	1.277	1.327	0.500	0.886	0.000	0.686
#From	To	chi[to]	beta[fr]	lambda
0	0	0.094	0.596	1.000
0	2	0.160	0.404	1.000
1	4	0.037	1.000	1.000
3	4	0.113	1.000	1.000
4	0	0.322	0.543	1.000
4	2	0.185	0.457	1.000
5	0	0.151	0.305	1.000
5	2	0.198	0.695	1.000
6	2	0.200	1.000	1.000
7	0	0.264	0.271	1.000
7	2	0.153	0.140	1.000
7	4	0.296	0.302	1.000
7	6	0.268	0.288	1.000
8	0	0.169	0.054	1.000
8	2	0.104	0.390	1.000
8	4	0.228	0.144	1.000
8	6	0.646	0.413	1.000
9	4	0.326	0.119	1.000
9	6	0.086	0.554	1.000
9	8	1.000	0.327	1.000
