#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.097	1.440	1.491	0.603	0.556	1.000	0.000
1	0.224	1.208	1.055	0.177	0.557	1.000	0.000
2	0.246	0.803	1.031	0.821	0.668	1.000	0.930
3	1.000	0.544	1.004	0.800	0.991	0.000	0.945
4	0.393	0.516	1.241	0.891	0.582	1.000	0.884
5	0.393	0.749	1.492	0.292	0.899	1.000	0.960
6	1.000	1.260	1.313	0.529	0.977	0.000	0.954
7	1.000	1.264	1.030	0.145	0.688	0.000	0.831
8	0.393	1.068	1.274	0.932	0.673	1.000	0.000
9	0.393	1.288	1.469	0.353	0.714	1.000	0.576
#From	To	chi[to]	beta[fr]	lambda
2	0	1.000	1.000	1.000
3	4	1.000	0.306	1.000
3	8	1.000	0.262	1.000
3	9	1.000	0.432	1.000
4	1	0.233	0.481	1.000
4	5	0.192	0.519	1.000
5	1	0.150	0.308	1.000
5	5	0.808	0.692	1.000
6	1	0.245	0.933	1.000
6	2	0.428	0.067	1.000
7	1	0.030	1.000	1.000
9	1	0.341	0.504	1.000
9	2	0.572	0.496	1.000
