#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.314	0.770	1.193	0.392	0.967	1.000	0.804
1	1.000	1.148	1.255	0.753	0.987	0.000	0.605
2	0.187	0.886	1.046	0.990	0.593	1.000	0.000
3	1.000	0.560	1.212	0.395	0.795	0.000	0.705
4	0.326	1.292	1.058	0.791	0.600	1.000	0.989
5	1.000	0.573	1.342	0.864	0.536	0.000	0.826
6	0.288	1.124	1.442	0.617	0.719	1.000	0.787
7	1.000	1.043	1.009	0.147	0.556	0.000	0.712
8	0.393	1.278	1.065	0.025	0.984	1.000	0.519
9	1.000	0.827	1.101	0.180	0.910	0.000	0.841
#From	To	chi[to]	beta[fr]	lambda
0	0	0.240	0.432	1.000
0	2	0.301	0.568	1.000
1	4	0.260	1.000	1.000
3	4	0.095	1.000	1.000
4	0	0.028	0.464	1.000
4	2	0.043	0.536	1.000
5	0	0.180	0.266	1.000
5	2	0.109	0.734	1.000
6	2	0.005	1.000	1.000
7	0	0.326	0.197	1.000
7	2	0.192	0.439	1.000
7	4	0.201	0.350	1.000
7	6	0.417	0.014	1.000
8	0	0.227	0.078	1.000
8	2	0.352	0.779	1.000
8	4	0.310	0.132	1.000
8	6	0.185	0.010	1.000
9	4	0.134	0.533	1.000
9	6	0.398	0.261	1.000
9	8	1.000	0.205	1.000
