#N	alpha	gamma	mu	phi	psi	rho	sigm
0	1.000	0.931	1.127	0.049	0.570	0.000	0.651
1	0.313	0.673	1.184	0.628	0.997	1.000	0.000
2	0.536	0.960	1.057	0.124	0.527	1.000	0.919
3	1.000	1.493	1.408	0.763	0.652	0.000	0.598
4	1.000	0.618	1.398	0.023	0.869	0.000	0.938
5	1.000	1.482	1.037	0.014	0.966	0.000	0.826
6	0.393	0.760	1.372	0.606	0.955	1.000	0.614
7	1.000	1.102	1.088	0.844	0.862	0.000	0.598
8	1.000	0.510	1.193	0.153	0.801	0.000	0.574
9	0.319	0.818	1.171	0.139	0.795	1.000	0.973
#From	To	chi[to]	beta[fr]	lambda
0	6	0.499	1.000	1.000
1	1	0.433	1.000	1.000
2	2	0.423	0.395	1.000
2	9	0.486	0.605	1.000
3	2	0.157	0.799	1.000
3	9	0.485	0.201	1.000
4	6	0.501	1.000	1.000
5	1	0.328	1.000	1.000
6	1	0.015	1.000	1.000
7	1	0.125	1.000	1.000
8	2	0.419	0.883	1.000
8	9	0.029	0.117	1.000
9	1	0.100	1.000	1.000
