#N	alpha	gamma	mu	phi	psi	rho	sigm
0	1.000	1.470	1.130	0.635	0.897	0.000	0.567
1	0.288	0.793	1.474	0.209	0.689	1.000	0.517
2	0.393	1.184	1.486	0.775	0.601	1.000	0.975
3	1.000	0.536	1.364	0.954	0.933	0.000	0.564
4	0.234	1.223	1.261	0.513	0.946	1.000	0.944
5	1.000	1.426	1.463	0.300	0.638	0.000	0.723
6	0.092	0.553	1.192	0.906	0.774	1.000	0.600
7	1.000	1.144	1.089	0.080	0.841	0.000	0.965
8	1.000	1.459	1.215	0.670	0.607	0.000	0.781
9	0.393	1.263	1.142	0.744	0.762	1.000	0.000
#From	To	chi[to]	beta[fr]	lambda
0	4	0.141	1.000	1.000
1	4	0.094	1.000	1.000
2	1	0.398	0.764	1.000
2	4	0.192	0.236	1.000
3	1	0.032	0.408	1.000
3	4	0.161	0.592	1.000
4	4	0.150	0.616	1.000
4	6	1.000	0.384	1.000
5	2	0.523	0.149	1.000
5	9	0.848	0.851	1.000
6	4	0.059	1.000	1.000
7	1	0.570	0.720	1.000
7	4	0.202	0.280	1.000
8	2	0.477	0.634	1.000
8	9	0.152	0.366	1.000
